quarter,industry1,occupation1,job_vacancy
2019-Q4,services,"clerical, sales and services workers",11100
2019-Q4,services,"production and transport operators, cleaners and labourers",6100
2019-Q4,others,total,400
2019-Q4,others,"professional, managers, executive and technicians",300
2019-Q4,others,"clerical, sales and services workers",-
2019-Q4,others,"production and transport operators, cleaners and labourers",100
2020-Q1,total,total,44400
2020-Q1,total,"professional, managers, executive and technicians",27000
2020-Q1,total,"clerical, sales and services workers",8500
2020-Q1,total,"production and transport operators, cleaners and labourers",8900
2020-Q1,manufacturing,total,6100
2020-Q1,manufacturing,"professional, managers, executive and technicians",2900
2020-Q1,manufacturing,"clerical, sales and services workers",200
2020-Q1,manufacturing,"production and transport operators, cleaners and labourers",3000
2020-Q1,construction,total,1300
2020-Q1,construction,"professional, managers, executive and technicians",500
2020-Q1,construction,"clerical, sales and services workers",100
2020-Q1,construction,"production and transport operators, cleaners and labourers",700
2020-Q1,services,total,36500
2020-Q1,services,"professional, managers, executive and technicians",23300
2020-Q1,services,"clerical, sales and services workers",8100
2020-Q1,services,"production and transport operators, cleaners and labourers",5100
2020-Q1,others,total,400
2020-Q1,others,"professional, managers, executive and technicians",300
2020-Q1,others,"clerical, sales and services workers",-
2020-Q1,others,"production and transport operators, cleaners and labourers",100
2020-Q2,total,total,42800
2020-Q2,total,"professional, managers, executive and technicians",26000
2020-Q2,total,"clerical, sales and services workers",8300
2020-Q2,total,"production and transport operators, cleaners and labourers",8500
2020-Q2,manufacturing,total,4600
2020-Q2,manufacturing,"professional, managers, executive and technicians",2500
2020-Q2,manufacturing,"clerical, sales and services workers",300
2020-Q2,manufacturing,"production and transport operators, cleaners and labourers",1800
2020-Q2,construction,total,900
2020-Q2,construction,"professional, managers, executive and technicians",500
2020-Q2,construction,"clerical, sales and services workers",100
2020-Q2,construction,"production and transport operators, cleaners and labourers",400
2020-Q2,services,total,36900
2020-Q2,services,"professional, managers, executive and technicians",22700
2020-Q2,services,"clerical, sales and services workers",7900
2020-Q2,services,"production and transport operators, cleaners and labourers",6200
2020-Q2,others,total,400
2020-Q2,others,"professional, managers, executive and technicians",200
2020-Q2,others,"clerical, sales and services workers",-
2020-Q2,others,"production and transport operators, cleaners and labourers",100
2020-Q3,total,total,53300
2020-Q3,total,"professional, managers, executive and technicians",30200
2020-Q3,total,"clerical, sales and services workers",11600
2020-Q3,total,"production and transport operators, cleaners and labourers",11500
2020-Q3,manufacturing,total,5400
2020-Q3,manufacturing,"professional, managers, executive and technicians",2300
2020-Q3,manufacturing,"clerical, sales and services workers",500
2020-Q3,manufacturing,"production and transport operators, cleaners and labourers",2500
2020-Q3,construction,total,3500
2020-Q3,construction,"professional, managers, executive and technicians",1000
2020-Q3,construction,"clerical, sales and services workers",200
2020-Q3,construction,"production and transport operators, cleaners and labourers",2300
2020-Q3,services,total,44000
2020-Q3,services,"professional, managers, executive and technicians",26600
2020-Q3,services,"clerical, sales and services workers",10900
2020-Q3,services,"production and transport operators, cleaners and labourers",6600
2020-Q3,others,total,400
2020-Q3,others,"professional, managers, executive and technicians",300
2020-Q3,others,"clerical, sales and services workers",-
2020-Q3,others,"production and transport operators, cleaners and labourers",100
2020-Q4,total,total,53000
2020-Q4,total,"professional, managers, executive and technicians",29500
2020-Q4,total,"clerical, sales and services workers",10600
2020-Q4,total,"production and transport operators, cleaners and labourers",12900
2020-Q4,manufacturing,total,5900
2020-Q4,manufacturing,"professional, managers, executive and technicians",2500
2020-Q4,manufacturing,"clerical, sales and services workers",500
2020-Q4,manufacturing,"production and transport operators, cleaners and labourers",2900
2020-Q4,construction,total,4900
2020-Q4,construction,"professional, managers, executive and technicians",1100
2020-Q4,construction,"clerical, sales and services workers",200
2020-Q4,construction,"production and transport operators, cleaners and labourers",3600
2020-Q4,services,total,42000
2020-Q4,services,"professional, managers, executive and technicians",25800
2020-Q4,services,"clerical, sales and services workers",9800
2020-Q4,services,"production and transport operators, cleaners and labourers",6400
2020-Q4,others,total,200
2020-Q4,others,"professional, managers, executive and technicians",200
2020-Q4,others,"clerical, sales and services workers",-
2020-Q4,others,"production and transport operators, cleaners and labourers",-
2021-Q1,total,total,67000
2021-Q1,total,"professional, managers, executive and technicians",37600
2021-Q1,total,"clerical, sales and services workers",12900
2021-Q1,total,"production and transport operators, cleaners and labourers",16500
2021-Q1,manufacturing,total,8900
2021-Q1,manufacturing,"professional, managers, executive and technicians",3800
2021-Q1,manufacturing,"clerical, sales and services workers",600
2021-Q1,manufacturing,"production and transport operators, cleaners and labourers",4600
2021-Q1,construction,total,6500
2021-Q1,construction,"professional, managers, executive and technicians",1500
2021-Q1,construction,"clerical, sales and services workers",700
2021-Q1,construction,"production and transport operators, cleaners and labourers",4200
2021-Q1,services,total,51100
2021-Q1,services,"professional, managers, executive and technicians",32000
2021-Q1,services,"clerical, sales and services workers",11600
2021-Q1,services,"production and transport operators, cleaners and labourers",7500
2021-Q1,others,total,500
2021-Q1,others,"professional, managers, executive and technicians",300
2021-Q1,others,"clerical, sales and services workers",-
2021-Q1,others,"production and transport operators, cleaners and labourers",100
2021-Q2,total,total,93800
2021-Q2,total,"professional, managers, executive and technicians",49400
2021-Q2,total,"clerical, sales and services workers",15100
2021-Q2,total,"production and transport operators, cleaners and labourers",29300
2021-Q2,manufacturing,total,15200
2021-Q2,manufacturing,"professional, managers, executive and technicians",5400
2021-Q2,manufacturing,"clerical, sales and services workers",1000
2021-Q2,manufacturing,"production and transport operators, cleaners and labourers",8900
2021-Q2,construction,total,11600
2021-Q2,construction,"professional, managers, executive and technicians",2200
2021-Q2,construction,"clerical, sales and services workers",600
2021-Q2,construction,"production and transport operators, cleaners and labourers",8800
2021-Q2,services,"professional, managers, executive and technicians",41500
2021-Q2,services,"clerical, sales and services workers",13500
2021-Q2,services,"production and transport operators, cleaners and labourers",11200
2021-Q2,others,total,800
2021-Q2,others,"professional, managers, executive and technicians",400
2021-Q2,others,"clerical, sales and services workers",-
2021-Q2,others,"production and transport operators, cleaners and labourers",400
2021-Q3,total,total,104200
2021-Q3,total,"professional, managers, executive and technicians",55200
2021-Q3,total,"clerical, sales and services workers",19400
2021-Q3,total,"production and transport operators, cleaners and labourers",29500
2021-Q3,manufacturing,total,13400
2021-Q3,manufacturing,"professional, managers, executive and technicians",5600
2021-Q3,manufacturing,"clerical, sales and services workers",900
2021-Q3,manufacturing,"production and transport operators, cleaners and labourers",6900
2021-Q3,construction,total,11900
2021-Q3,construction,"professional, managers, executive and technicians",2500
2021-Q3,construction,"clerical, sales and services workers",700
2021-Q3,construction,"production and transport operators, cleaners and labourers",8600
2021-Q3,services,total,78000
2021-Q3,services,"professional, managers, executive and technicians",46600
2021-Q3,services,"clerical, sales and services workers",17700
2021-Q3,services,"production and transport operators, cleaners and labourers",13700
2021-Q3,others,total,900
2021-Q3,others,"professional, managers, executive and technicians",500
2021-Q3,others,"clerical, sales and services workers",100
2021-Q3,others,"production and transport operators, cleaners and labourers",300
2021-Q4,total,total,114000
2021-Q4,total,"professional, managers, executive and technicians",63200
2021-Q4,total,"clerical, sales and services workers",20800
2021-Q4,total,"production and transport operators, cleaners and labourers",30000
2021-Q4,manufacturing,total,13800
2021-Q4,manufacturing,"professional, managers, executive and technicians",5500
2021-Q4,manufacturing,"clerical, sales and services workers",1300
2021-Q4,manufacturing,"production and transport operators, cleaners and labourers",7000
2021-Q4,construction,total,12400
2021-Q4,construction,"professional, managers, executive and technicians",2400
2021-Q4,construction,"clerical, sales and services workers",600
2021-Q4,construction,"production and transport operators, cleaners and labourers",9300
2021-Q4,services,total,87200
2021-Q4,services,"professional, managers, executive and technicians",54800
2021-Q4,services,"clerical, sales and services workers",18900
2021-Q4,services,"production and transport operators, cleaners and labourers",13400
2021-Q4,others,total,700
2021-Q4,others,"professional, managers, executive and technicians",500
2021-Q4,others,"clerical, sales and services workers",-
2021-Q4,others,"production and transport operators, cleaners and labourers",200
2022-Q1,total,total,123100
2022-Q1,total,"professional, managers, executive and technicians",69700
2022-Q1,total,"clerical, sales and services workers",23200
2022-Q1,total,"production and transport operators, cleaners and labourers",30100
2022-Q1,manufacturing,total,14500
2022-Q1,manufacturing,"professional, managers, executive and technicians",6500
2022-Q1,manufacturing,"clerical, sales and services workers",1400
2022-Q1,manufacturing,"production and transport operators, cleaners and labourers",6600
2022-Q1,construction,total,12300
2022-Q1,construction,"professional, managers, executive and technicians",2700
2022-Q1,construction,"clerical, sales and services workers",700
2022-Q1,construction,"production and transport operators, cleaners and labourers",8900
2022-Q1,services,total,95400
2022-Q1,services,"professional, managers, executive and technicians",60000
2022-Q1,services,"clerical, sales and services workers",21100
2022-Q1,services,"production and transport operators, cleaners and labourers",14200
2022-Q1,others,total,900
2022-Q1,others,"professional, managers, executive and technicians",500
2022-Q1,others,"clerical, sales and services workers",-
2022-Q1,others,"production and transport operators, cleaners and labourers",400
2022-Q2,total,total,127000
2022-Q2,total,"professional, managers, executive and technicians",70600
2022-Q2,total,"clerical, sales and services workers",26200
2022-Q2,total,"production and transport operators, cleaners and labourers",30100
2022-Q2,manufacturing,total,15900
2022-Q2,manufacturing,"professional, managers, executive and technicians",7500
2022-Q2,manufacturing,"clerical, sales and services workers",1400
2022-Q2,manufacturing,"production and transport operators, cleaners and labourers",7000
2022-Q2,construction,total,11700
2022-Q2,construction,"professional, managers, executive and technicians",2600
2022-Q2,construction,"clerical, sales and services workers",800
2022-Q2,construction,"production and transport operators, cleaners and labourers",8200
2022-Q2,services,total,98800
2023-Q2,services,"clerical, sales and services workers",18800
2022-Q2,services,"professional, managers, executive and technicians",60100
2022-Q2,services,"clerical, sales and services workers",23900
2022-Q2,services,"production and transport operators, cleaners and labourers",14700
2022-Q2,others,total,600
2022-Q2,others,"professional, managers, executive and technicians",500
2022-Q2,others,"clerical, sales and services workers",-
2022-Q2,others,"production and transport operators, cleaners and labourers",100
2022-Q3,total,total,107200
2022-Q3,total,"professional, managers, executive and technicians",60000
2022-Q3,total,"clerical, sales and services workers",23400
2022-Q3,total,"production and transport operators, cleaners and labourers",23800
2022-Q3,manufacturing,total,12100
2022-Q3,manufacturing,"professional, managers, executive and technicians",5700
2022-Q3,manufacturing,"clerical, sales and services workers",900
2022-Q3,manufacturing,"production and transport operators, cleaners and labourers",5400
2022-Q3,construction,total,8300
2022-Q3,construction,"professional, managers, executive and technicians",2300
2022-Q3,construction,"clerical, sales and services workers",600
2022-Q3,construction,"production and transport operators, cleaners and labourers",5400
2022-Q3,services,total,86200
2022-Q3,services,"professional, managers, executive and technicians",51600
2022-Q3,services,"clerical, sales and services workers",21900
2022-Q3,services,"production and transport operators, cleaners and labourers",12800
2022-Q3,others,total,600
2022-Q3,others,"professional, managers, executive and technicians",400
2022-Q3,others,"clerical, sales and services workers",-
2022-Q3,others,"production and transport operators, cleaners and labourers",100
2022-Q4,total,total,102700
2022-Q4,total,"professional, managers, executive and technicians",54400
2022-Q4,total,"clerical, sales and services workers",24400
2022-Q4,total,"production and transport operators, cleaners and labourers",23900
2022-Q4,manufacturing,total,11300
2022-Q4,manufacturing,"professional, managers, executive and technicians",5200
2022-Q4,manufacturing,"clerical, sales and services workers",1100
2022-Q4,manufacturing,"production and transport operators, cleaners and labourers",5000
2022-Q4,construction,total,8800
2022-Q4,construction,"professional, managers, executive and technicians",2100
2022-Q4,construction,"clerical, sales and services workers",600
2022-Q4,construction,"production and transport operators, cleaners and labourers",6100
2022-Q4,services,total,81900
2022-Q4,services,"professional, managers, executive and technicians",46900
2022-Q4,services,"clerical, sales and services workers",22600
2022-Q4,services,"production and transport operators, cleaners and labourers",12500
2022-Q4,others,total,700
2022-Q4,others,"professional, managers, executive and technicians",400
2022-Q4,others,"clerical, sales and services workers",-
2022-Q4,others,"production and transport operators, cleaners and labourers",300
2023-Q1,total,total,97400
2023-Q1,total,"professional, managers, executive and technicians",53800
2023-Q1,total,"clerical, sales and services workers",21600
2023-Q1,total,"production and transport operators, cleaners and labourers",22000
2023-Q1,manufacturing,total,9500
2023-Q1,manufacturing,"professional, managers, executive and technicians",4400
2023-Q1,manufacturing,"clerical, sales and services workers",1200
2023-Q1,manufacturing,"production and transport operators, cleaners and labourers",3900
2023-Q1,construction,total,7700
2023-Q1,construction,"professional, managers, executive and technicians",2200
2023-Q1,construction,"clerical, sales and services workers",600
2023-Q1,construction,"production and transport operators, cleaners and labourers",5000
2023-Q1,services,total,79500
2023-Q1,services,"professional, managers, executive and technicians",46800
2023-Q1,services,"clerical, sales and services workers",19800
2023-Q1,services,"production and transport operators, cleaners and labourers",12900
2023-Q1,others,total,700
2023-Q1,others,"professional, managers, executive and technicians",500
2023-Q1,others,"clerical, sales and services workers",100
2023-Q1,others,"production and transport operators, cleaners and labourers",200
2023-Q2,total,total,89400
2023-Q2,total,"professional, managers, executive and technicians",51500
2023-Q2,total,"clerical, sales and services workers",20700
2023-Q2,total,"production and transport operators, cleaners and labourers",17300
2023-Q2,manufacturing,total,8500
2023-Q2,manufacturing,"professional, managers, executive and technicians",4200
2023-Q2,manufacturing,"clerical, sales and services workers",1200
2023-Q2,manufacturing,"production and transport operators, cleaners and labourers",3200
2023-Q2,construction,total,7200
2023-Q2,construction,"professional, managers, executive and technicians",2400
2023-Q2,construction,"clerical, sales and services workers",600
2023-Q2,construction,"production and transport operators, cleaners and labourers",4200
2023-Q2,services,total,73000
2023-Q2,services,"professional, managers, executive and technicians",44500
2023-Q2,services,"production and transport operators, cleaners and labourers",9700
2023-Q2,others,total,700
2023-Q2,others,"professional, managers, executive and technicians",400
2023-Q2,others,"clerical, sales and services workers",-
2023-Q2,others,"production and transport operators, cleaners and labourers",200
2023-Q3,total,total,78100
2023-Q3,total,"professional, managers, executive and technicians",44700
2023-Q3,total,"clerical, sales and services workers",18800
2023-Q3,total,"production and transport operators, cleaners and labourers",14700
2023-Q3,manufacturing,total,6700
2023-Q3,manufacturing,"professional, managers, executive and technicians",3500
2023-Q3,manufacturing,"clerical, sales and services workers",800
2023-Q3,manufacturing,"production and transport operators, cleaners and labourers",2400
2023-Q3,construction,total,5900
2023-Q3,construction,"professional, managers, executive and technicians",2000
2023-Q3,construction,"clerical, sales and services workers",400
2023-Q3,construction,"production and transport operators, cleaners and labourers",3500
2023-Q3,services,total,64900
2023-Q3,services,"professional, managers, executive and technicians",38700
2023-Q3,services,"clerical, sales and services workers",17600
2023-Q3,services,"production and transport operators, cleaners and labourers",8600
2023-Q3,others,total,600
2023-Q3,others,"professional, managers, executive and technicians",400
2023-Q3,others,"clerical, sales and services workers",-
2023-Q3,others,"production and transport operators, cleaners and labourers",200
2023-Q4,total,total,78300
2023-Q4,total,"professional, managers, executive and technicians",43200
2023-Q4,total,"clerical, sales and services workers",19400
2023-Q4,total,"production and transport operators, cleaners and labourers",15800
2023-Q4,manufacturing,total,8500
2023-Q4,manufacturing,"professional, managers, executive and technicians",4300
2023-Q4,manufacturing,"clerical, sales and services workers",1200
2023-Q4,manufacturing,"production and transport operators, cleaners and labourers",3000
2023-Q4,construction,total,6300
2023-Q4,construction,"professional, managers, executive and technicians",2100
2023-Q4,construction,"clerical, sales and services workers",500
2023-Q4,construction,"production and transport operators, cleaners and labourers",3700
2023-Q4,services,total,62800
2023-Q4,services,"professional, managers, executive and technicians",36400
2023-Q4,services,"clerical, sales and services workers",17500
2023-Q4,services,"production and transport operators, cleaners and labourers",8800
2023-Q4,others,total,800
2023-Q4,others,"professional, managers, executive and technicians",400
2023-Q4,others,"clerical, sales and services workers",100
2023-Q4,others,"production and transport operators, cleaners and labourers",300
2024-Q1,total,total,82200
2024-Q1,total,"professional, managers, executive and technicians",45700
2024-Q1,total,"clerical, sales and services workers",19400
2024-Q1,total,"production and transport operators, cleaners and labourers",17100
2024-Q1,manufacturing,total,9400
2024-Q1,manufacturing,"professional, managers, executive and technicians",4600
2024-Q1,manufacturing,"clerical, sales and services workers",1400
2024-Q1,manufacturing,"production and transport operators, cleaners and labourers",3300
2024-Q1,construction,total,7400
2024-Q1,construction,"professional, managers, executive and technicians",2000
2024-Q1,construction,"clerical, sales and services workers",600
2024-Q1,construction,"production and transport operators, cleaners and labourers",4800
2024-Q1,services,total,64800
2024-Q1,services,"professional, managers, executive and technicians",38500
2024-Q1,services,"clerical, sales and services workers",17400
2024-Q1,services,"production and transport operators, cleaners and labourers",8900
2024-Q1,others,total,700
2024-Q1,others,"professional, managers, executive and technicians",500
2024-Q1,others,"clerical, sales and services workers",-
2024-Q1,others,"production and transport operators, cleaners and labourers",200
2024-Q2,total,total,82600
2024-Q2,total,"professional, managers, executive and technicians",45300
2024-Q2,total,"clerical, sales and services workers",19100
2024-Q2,total,"production and transport operators, cleaners and labourers",18200
2024-Q2,manufacturing,total,8700
2024-Q2,manufacturing,"professional, managers, executive and technicians",4200
2024-Q2,manufacturing,"clerical, sales and services workers",1500
2024-Q2,manufacturing,"production and transport operators, cleaners and labourers",3000
2024-Q2,construction,total,8700
2024-Q2,construction,"professional, managers, executive and technicians",2300
2024-Q2,construction,"clerical, sales and services workers",600
2024-Q2,construction,"production and transport operators, cleaners and labourers",5800
2024-Q2,services,total,64800
2024-Q2,services,"professional, managers, executive and technicians",38700
2024-Q2,services,"clerical, sales and services workers",16900
2024-Q2,services,"production and transport operators, cleaners and labourers",9200
2024-Q2,others,total,400
2024-Q2,others,"professional, managers, executive and technicians",200
2024-Q2,others,"clerical, sales and services workers",-
2024-Q2,others,"production and transport operators, cleaners and labourers",200
2024-Q3,total,total,61400
2024-Q3,total,"professional, managers, executive and technicians",35400
2024-Q3,total,"clerical, sales and services workers",14800
2024-Q3,total,"production and transport operators, cleaners and labourers",11200
2024-Q3,manufacturing,total,6100
2024-Q3,manufacturing,"professional, managers, executive and technicians",3500
2024-Q3,manufacturing,"clerical, sales and services workers",900
2024-Q3,manufacturing,"production and transport operators, cleaners and labourers",1700
2024-Q3,construction,total,4900
2024-Q3,construction,"professional, managers, executive and technicians",2100
2024-Q3,construction,"clerical, sales and services workers",300
2024-Q3,construction,"production and transport operators, cleaners and labourers",2500
2024-Q3,services,total,49800
2024-Q3,services,"professional, managers, executive and technicians",29400
2024-Q3,services,"clerical, sales and services workers",13500
2024-Q3,services,"production and transport operators, cleaners and labourers",6900
2024-Q3,others,total,600
2024-Q3,others,"professional, managers, executive and technicians",400
2024-Q3,others,"clerical, sales and services workers",-
2024-Q3,others,"production and transport operators, cleaners and labourers",100
