quarter,industry1,industry2,occupation1,job_vacancy
2020-Q4,manufacturing,transport equipment,total,500
2020-Q4,manufacturing,transport equipment,"professional, managers, executive and technicians",200
2020-Q4,manufacturing,transport equipment,"clerical, sales and services workers",-
2020-Q4,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",300
2020-Q4,manufacturing,other manufacturing industries,total,1000
2020-Q4,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",400
2020-Q4,manufacturing,other manufacturing industries,"clerical, sales and services workers",100
2020-Q4,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",500
2020-Q4,construction,construction,total,4900
2020-Q4,construction,construction,"professional, managers, executive and technicians",1100
2020-Q4,construction,construction,"clerical, sales and services workers",200
2020-Q4,construction,construction,"production and transport operators, cleaners and labourers",3600
2020-Q4,services,wholesale and retail trade,total,5100
2020-Q4,services,wholesale and retail trade,"professional, managers, executive and technicians",2100
2020-Q4,services,wholesale and retail trade,"clerical, sales and services workers",2100
2020-Q4,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",1000
2020-Q4,services,transportation and storage,total,2200
2020-Q4,services,transportation and storage,"professional, managers, executive and technicians",500
2020-Q4,services,transportation and storage,"clerical, sales and services workers",300
2020-Q4,services,transportation and storage,"production and transport operators, cleaners and labourers",1400
2020-Q4,services,accommodation and food services,total,4300
2020-Q4,services,accommodation and food services,"professional, managers, executive and technicians",900
2020-Q4,services,accommodation and food services,"clerical, sales and services workers",2500
2020-Q4,services,accommodation and food services,"production and transport operators, cleaners and labourers",900
2020-Q4,services,information and communications,total,4900
2020-Q4,services,information and communications,"professional, managers, executive and technicians",4600
2020-Q4,services,information and communications,"clerical, sales and services workers",200
2020-Q4,services,information and communications,"production and transport operators, cleaners and labourers",100
2020-Q4,services,financial and insurance services,total,3700
2020-Q4,services,financial and insurance services,"professional, managers, executive and technicians",3500
2020-Q4,services,financial and insurance services,"clerical, sales and services workers",200
2020-Q4,services,financial and insurance services,"production and transport operators, cleaners and labourers",-
2020-Q4,services,real estate services,total,1000
2020-Q4,services,real estate services,"professional, managers, executive and technicians",600
2020-Q4,services,real estate services,"clerical, sales and services workers",200
2020-Q4,services,real estate services,"production and transport operators, cleaners and labourers",200
2020-Q4,services,professional services,total,3400
2020-Q4,services,professional services,"professional, managers, executive and technicians",2900
2020-Q4,services,professional services,"clerical, sales and services workers",400
2020-Q4,services,professional services,"production and transport operators, cleaners and labourers",200
2020-Q4,services,administrative and support services,total,3800
2020-Q4,services,administrative and support services,"professional, managers, executive and technicians",300
2020-Q4,services,administrative and support services,"clerical, sales and services workers",1500
2020-Q4,services,administrative and support services,"production and transport operators, cleaners and labourers",2100
2020-Q4,services,"community, social and personal services",total,13600
2020-Q4,services,"community, social and personal services","professional, managers, executive and technicians",10400
2020-Q4,services,"community, social and personal services","clerical, sales and services workers",2600
2020-Q4,services,"community, social and personal services","production and transport operators, cleaners and labourers",600
2020-Q4,others,others,total,200
2020-Q4,others,others,"professional, managers, executive and technicians",200
2020-Q4,others,others,"clerical, sales and services workers",-
2020-Q4,others,others,"production and transport operators, cleaners and labourers",-
2021-Q1,total,total,total,67000
2021-Q1,total,total,"professional, managers, executive and technicians",37600
2021-Q1,total,total,"clerical, sales and services workers",12900
2021-Q1,total,total,"production and transport operators, cleaners and labourers",16500
2021-Q1,manufacturing,"food, beverages and tobacco",total,800
2021-Q1,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",200
2021-Q1,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",200
2021-Q1,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",400
2021-Q1,manufacturing,"paper,rubber,plastic products and printing",total,700
2021-Q1,manufacturing,"paper,rubber,plastic products and printing","professional, managers, executive and technicians",200
2021-Q1,manufacturing,"paper,rubber,plastic products and printing","clerical, sales and services workers",100
2021-Q1,manufacturing,"paper,rubber,plastic products and printing","production and transport operators, cleaners and labourers",400
2021-Q1,manufacturing,"petroleum, chemical and pharmaceutical products",total,500
2021-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",400
2021-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",-
2021-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",100
2021-Q1,manufacturing,"fabricated metal products, machinery and equipment",total,2400
2021-Q1,manufacturing,"fabricated metal products, machinery and equipment","professional, managers, executive and technicians",1000
2021-Q1,manufacturing,"fabricated metal products, machinery and equipment","clerical, sales and services workers",100
2021-Q2,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",700
2021-Q1,manufacturing,"fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",1300
2021-Q1,manufacturing,"electronic, computer and optical products",total,1800
2021-Q1,manufacturing,"electronic, computer and optical products","professional, managers, executive and technicians",1000
2021-Q1,manufacturing,"electronic, computer and optical products","clerical, sales and services workers",-
2021-Q1,manufacturing,"electronic, computer and optical products","production and transport operators, cleaners and labourers",800
2021-Q1,manufacturing,transport equipment,total,1300
2021-Q1,manufacturing,transport equipment,"professional, managers, executive and technicians",600
2021-Q1,manufacturing,transport equipment,"clerical, sales and services workers",-
2021-Q1,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",700
2021-Q1,manufacturing,other manufacturing industries,total,1300
2021-Q1,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",400
2021-Q1,manufacturing,other manufacturing industries,"clerical, sales and services workers",100
2021-Q1,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",900
2021-Q1,construction,construction,total,6500
2021-Q1,construction,construction,"professional, managers, executive and technicians",1500
2021-Q1,construction,construction,"clerical, sales and services workers",700
2021-Q1,construction,construction,"production and transport operators, cleaners and labourers",4200
2021-Q1,services,wholesale and retail trade,total,6500
2021-Q1,services,wholesale and retail trade,"professional, managers, executive and technicians",3000
2021-Q1,services,wholesale and retail trade,"clerical, sales and services workers",2200
2021-Q1,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",1300
2021-Q1,services,transportation and storage,total,3300
2021-Q1,services,transportation and storage,"professional, managers, executive and technicians",700
2021-Q1,services,transportation and storage,"clerical, sales and services workers",500
2021-Q1,services,transportation and storage,"production and transport operators, cleaners and labourers",2200
2021-Q1,services,accommodation and food services,total,5600
2021-Q1,services,accommodation and food services,"professional, managers, executive and technicians",1100
2021-Q1,services,accommodation and food services,"clerical, sales and services workers",3300
2021-Q1,services,accommodation and food services,"production and transport operators, cleaners and labourers",1200
2021-Q1,services,information and communications,total,6100
2021-Q1,services,information and communications,"professional, managers, executive and technicians",5700
2021-Q1,services,information and communications,"clerical, sales and services workers",300
2021-Q1,services,information and communications,"production and transport operators, cleaners and labourers",100
2021-Q1,services,financial and insurance services,total,5500
2021-Q1,services,financial and insurance services,"professional, managers, executive and technicians",5200
2021-Q1,services,financial and insurance services,"clerical, sales and services workers",200
2021-Q1,services,financial and insurance services,"production and transport operators, cleaners and labourers",-
2021-Q1,services,real estate services,total,1000
2021-Q1,services,real estate services,"professional, managers, executive and technicians",700
2021-Q1,services,real estate services,"clerical, sales and services workers",200
2021-Q1,services,real estate services,"production and transport operators, cleaners and labourers",200
2021-Q1,services,professional services,total,4700
2021-Q1,services,professional services,"professional, managers, executive and technicians",3800
2021-Q1,services,professional services,"clerical, sales and services workers",500
2021-Q1,services,professional services,"production and transport operators, cleaners and labourers",400
2021-Q1,services,administrative and support services,total,3700
2021-Q1,services,administrative and support services,"professional, managers, executive and technicians",600
2021-Q1,services,administrative and support services,"clerical, sales and services workers",1700
2021-Q1,services,administrative and support services,"production and transport operators, cleaners and labourers",1500
2021-Q1,services,"community, social and personal services",total,14700
2021-Q1,services,"community, social and personal services","professional, managers, executive and technicians",11300
2021-Q1,services,"community, social and personal services","clerical, sales and services workers",2700
2021-Q1,services,"community, social and personal services","production and transport operators, cleaners and labourers",700
2021-Q1,others,others,total,500
2021-Q1,others,others,"professional, managers, executive and technicians",300
2021-Q1,others,others,"clerical, sales and services workers",-
2021-Q1,others,others,"production and transport operators, cleaners and labourers",100
2021-Q2,total,total,total,93800
2021-Q2,total,total,"professional, managers, executive and technicians",49400
2021-Q2,total,total,"clerical, sales and services workers",15100
2021-Q2,total,total,"production and transport operators, cleaners and labourers",29300
2021-Q2,manufacturing,"food, beverages and tobacco",total,1400
2021-Q2,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",300
2021-Q2,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",400
2021-Q2,manufacturing,"paper,rubber,plastic products and printing",total,1400
2021-Q2,manufacturing,"paper,rubber,plastic products and printing","professional, managers, executive and technicians",300
2021-Q2,manufacturing,"paper,rubber,plastic products and printing","clerical, sales and services workers",100
2021-Q2,manufacturing,"paper,rubber,plastic products and printing","production and transport operators, cleaners and labourers",1000
2021-Q2,manufacturing,"petroleum, chemical and pharmaceutical products",total,1000
2021-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",600
2021-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",100
2021-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",300
2021-Q2,manufacturing,"fabricated metal products, machinery and equipment",total,4400
2021-Q2,manufacturing,"fabricated metal products, machinery and equipment","professional, managers, executive and technicians",1300
2021-Q2,manufacturing,"fabricated metal products, machinery and equipment","clerical, sales and services workers",200
2021-Q2,manufacturing,"fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",2900
2021-Q2,manufacturing,"electronic, computer and optical products",total,3200
2021-Q2,manufacturing,"electronic, computer and optical products","professional, managers, executive and technicians",1800
2021-Q2,manufacturing,"electronic, computer and optical products","clerical, sales and services workers",-
2021-Q2,manufacturing,"electronic, computer and optical products","production and transport operators, cleaners and labourers",1400
2021-Q2,manufacturing,transport equipment,total,2400
2021-Q2,manufacturing,transport equipment,"professional, managers, executive and technicians",500
2021-Q2,manufacturing,transport equipment,"clerical, sales and services workers",100
2021-Q2,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",1800
2021-Q2,manufacturing,other manufacturing industries,total,1400
2021-Q2,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",500
2021-Q2,manufacturing,other manufacturing industries,"clerical, sales and services workers",100
2021-Q2,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",800
2021-Q2,construction,construction,total,11600
2021-Q2,construction,construction,"professional, managers, executive and technicians",2200
2021-Q2,construction,construction,"clerical, sales and services workers",600
2021-Q2,construction,construction,"production and transport operators, cleaners and labourers",8800
2021-Q2,services,wholesale and retail trade,total,8900
2021-Q2,services,wholesale and retail trade,"professional, managers, executive and technicians",3700
2021-Q2,services,wholesale and retail trade,"clerical, sales and services workers",3400
2021-Q2,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",1800
2021-Q2,services,transportation and storage,total,4500
2021-Q2,services,transportation and storage,"professional, managers, executive and technicians",1100
2021-Q2,services,transportation and storage,"clerical, sales and services workers",700
2021-Q2,services,transportation and storage,"production and transport operators, cleaners and labourers",2800
2021-Q2,services,accommodation and food services,total,5400
2021-Q2,services,accommodation and food services,"professional, managers, executive and technicians",1100
2021-Q2,services,accommodation and food services,"clerical, sales and services workers",3100
2021-Q2,services,accommodation and food services,"production and transport operators, cleaners and labourers",1300
2021-Q2,services,information and communications,total,8700
2021-Q2,services,information and communications,"professional, managers, executive and technicians",8100
2021-Q2,services,information and communications,"clerical, sales and services workers",500
2021-Q2,services,information and communications,"production and transport operators, cleaners and labourers",100
2021-Q2,services,financial and insurance services,total,7000
2021-Q2,services,financial and insurance services,"professional, managers, executive and technicians",6800
2021-Q2,services,financial and insurance services,"clerical, sales and services workers",200
2021-Q2,services,financial and insurance services,"production and transport operators, cleaners and labourers",100
2021-Q2,services,real estate services,total,1500
2021-Q2,services,real estate services,"professional, managers, executive and technicians",900
2021-Q2,services,real estate services,"clerical, sales and services workers",200
2021-Q2,services,real estate services,"production and transport operators, cleaners and labourers",300
2021-Q2,services,professional services,total,7100
2021-Q2,services,professional services,"professional, managers, executive and technicians",5800
2021-Q2,services,professional services,"clerical, sales and services workers",500
2021-Q2,services,professional services,"production and transport operators, cleaners and labourers",800
2021-Q2,services,administrative and support services,total,6200
2021-Q2,services,administrative and support services,"professional, managers, executive and technicians",900
2021-Q2,services,administrative and support services,"clerical, sales and services workers",2100
2021-Q2,services,administrative and support services,"production and transport operators, cleaners and labourers",3200
2021-Q2,services,"community, social and personal services",total,16900
2021-Q2,services,"community, social and personal services","professional, managers, executive and technicians",13000
2021-Q2,services,"community, social and personal services","clerical, sales and services workers",2900
2021-Q2,services,"community, social and personal services","production and transport operators, cleaners and labourers",1000
2021-Q2,others,others,total,800
2021-Q2,others,others,"professional, managers, executive and technicians",400
2021-Q2,others,others,"clerical, sales and services workers",-
2021-Q2,others,others,"production and transport operators, cleaners and labourers",400
2021-Q3,total,total,total,104200
2021-Q3,total,total,"professional, managers, executive and technicians",55200
2021-Q3,total,total,"clerical, sales and services workers",19400
2021-Q3,total,total,"production and transport operators, cleaners and labourers",29500
2021-Q3,manufacturing,"food, beverages and tobacco",total,1500
2021-Q3,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",300
2021-Q3,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",300
2021-Q3,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",800
2021-Q3,manufacturing,"paper,rubber,plastic products and printing",total,900
2021-Q3,manufacturing,"paper,rubber,plastic products and printing","professional, managers, executive and technicians",200
2021-Q3,manufacturing,"paper,rubber,plastic products and printing","clerical, sales and services workers",100
2021-Q3,manufacturing,"paper,rubber,plastic products and printing","production and transport operators, cleaners and labourers",700
2021-Q3,manufacturing,"petroleum, chemical and pharmaceutical products",total,800
2021-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",500
2021-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",-
2021-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",200
2021-Q3,manufacturing,"fabricated metal products, machinery and equipment",total,3500
2021-Q3,manufacturing,"fabricated metal products, machinery and equipment","professional, managers, executive and technicians",1400
2021-Q3,manufacturing,"fabricated metal products, machinery and equipment","clerical, sales and services workers",300
2021-Q3,manufacturing,"fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",1900
2021-Q3,manufacturing,"electronic, computer and optical products",total,3100
2021-Q3,manufacturing,"electronic, computer and optical products","professional, managers, executive and technicians",1900
2021-Q3,manufacturing,"electronic, computer and optical products","clerical, sales and services workers",100
2021-Q3,manufacturing,"electronic, computer and optical products","production and transport operators, cleaners and labourers",1200
2021-Q3,manufacturing,transport equipment,total,1800
2021-Q3,manufacturing,transport equipment,"professional, managers, executive and technicians",600
2021-Q3,manufacturing,transport equipment,"clerical, sales and services workers",100
2021-Q3,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",1100
2021-Q3,manufacturing,other manufacturing industries,total,1800
2021-Q3,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",600
2021-Q3,manufacturing,other manufacturing industries,"clerical, sales and services workers",100
2021-Q3,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",1100
2021-Q3,construction,construction,total,11900
2021-Q3,construction,construction,"professional, managers, executive and technicians",2500
2021-Q3,construction,construction,"clerical, sales and services workers",700
2021-Q3,construction,construction,"production and transport operators, cleaners and labourers",8600
2021-Q3,services,wholesale and retail trade,total,10700
2021-Q3,services,wholesale and retail trade,"professional, managers, executive and technicians",4700
2021-Q3,services,wholesale and retail trade,"clerical, sales and services workers",4200
2021-Q3,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",1900
2021-Q3,services,transportation and storage,total,6500
2021-Q3,services,transportation and storage,"professional, managers, executive and technicians",1700
2021-Q3,services,transportation and storage,"clerical, sales and services workers",900
2021-Q3,services,transportation and storage,"production and transport operators, cleaners and labourers",3900
2021-Q3,services,accommodation and food services,total,8200
2021-Q3,services,accommodation and food services,"professional, managers, executive and technicians",1400
2021-Q3,services,accommodation and food services,"clerical, sales and services workers",4700
2021-Q3,services,accommodation and food services,"production and transport operators, cleaners and labourers",2000
2021-Q3,services,information and communications,total,8500
2021-Q3,services,information and communications,"professional, managers, executive and technicians",8100
2021-Q3,services,information and communications,"clerical, sales and services workers",300
2021-Q3,services,information and communications,"production and transport operators, cleaners and labourers",100
2021-Q3,services,financial and insurance services,total,7200
2021-Q3,services,financial and insurance services,"professional, managers, executive and technicians",6900
2021-Q3,services,financial and insurance services,"clerical, sales and services workers",300
2021-Q3,services,financial and insurance services,"production and transport operators, cleaners and labourers",100
2021-Q3,services,real estate services,total,1900
2021-Q3,services,real estate services,"professional, managers, executive and technicians",1100
2021-Q3,services,real estate services,"clerical, sales and services workers",300
2021-Q3,services,real estate services,"production and transport operators, cleaners and labourers",500
2021-Q3,services,professional services,total,8200
2021-Q3,services,professional services,"professional, managers, executive and technicians",7000
2021-Q3,services,professional services,"clerical, sales and services workers",500
2021-Q3,services,professional services,"production and transport operators, cleaners and labourers",800
2021-Q3,services,administrative and support services,total,7600
2021-Q3,services,administrative and support services,"professional, managers, executive and technicians",1700
2021-Q3,services,administrative and support services,"clerical, sales and services workers",2500
2021-Q3,services,administrative and support services,"production and transport operators, cleaners and labourers",3400
2021-Q3,services,"community, social and personal services",total,19200
2021-Q3,services,"community, social and personal services","professional, managers, executive and technicians",14000
2021-Q3,services,"community, social and personal services","clerical, sales and services workers",4100
2021-Q3,services,"community, social and personal services","production and transport operators, cleaners and labourers",1100
2021-Q3,others,others,total,900
2021-Q3,others,others,"professional, managers, executive and technicians",500
2021-Q3,others,others,"clerical, sales and services workers",100
2021-Q3,others,others,"production and transport operators, cleaners and labourers",300
2021-Q4,total,total,total,114000
2021-Q4,total,total,"professional, managers, executive and technicians",63200
2021-Q4,total,total,"clerical, sales and services workers",20800
2021-Q4,total,total,"production and transport operators, cleaners and labourers",30000
2021-Q4,manufacturing,"food, beverages and tobacco",total,1700
2021-Q4,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",300
2021-Q4,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",500
2021-Q4,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",800
2021-Q4,manufacturing,"paper,rubber,plastic products and printing",total,1100
2021-Q4,manufacturing,"paper,rubber,plastic products and printing","professional, managers, executive and technicians",200
2021-Q4,manufacturing,"paper,rubber,plastic products and printing","clerical, sales and services workers",100
2021-Q4,manufacturing,"paper,rubber,plastic products and printing","production and transport operators, cleaners and labourers",800
2021-Q4,manufacturing,"petroleum, chemical and pharmaceutical products",total,1100
2021-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",700
2021-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",-
2021-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",400
2021-Q4,manufacturing,"fabricated metal products, machinery and equipment",total,3100
2021-Q4,manufacturing,"fabricated metal products, machinery and equipment","professional, managers, executive and technicians",1300
2021-Q4,manufacturing,"fabricated metal products, machinery and equipment","clerical, sales and services workers",200
2021-Q4,manufacturing,"fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",1600
2021-Q4,manufacturing,"electronic, computer and optical products",total,3000
2021-Q4,manufacturing,"electronic, computer and optical products","professional, managers, executive and technicians",1600
2021-Q4,manufacturing,"electronic, computer and optical products","clerical, sales and services workers",-
2021-Q4,manufacturing,"electronic, computer and optical products","production and transport operators, cleaners and labourers",1400
2021-Q4,manufacturing,transport equipment,total,2000
2021-Q4,manufacturing,transport equipment,"professional, managers, executive and technicians",800
2021-Q4,manufacturing,transport equipment,"clerical, sales and services workers",100
2021-Q4,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",1100
2021-Q4,manufacturing,other manufacturing industries,total,1800
2021-Q4,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",600
2021-Q4,manufacturing,other manufacturing industries,"clerical, sales and services workers",200
2021-Q4,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",1000
2021-Q4,construction,construction,total,12400
2021-Q4,construction,construction,"professional, managers, executive and technicians",2400
2021-Q4,construction,construction,"clerical, sales and services workers",600
2021-Q4,construction,construction,"production and transport operators, cleaners and labourers",9300
2021-Q4,services,wholesale and retail trade,total,10600
2021-Q4,services,wholesale and retail trade,"professional, managers, executive and technicians",4200
2021-Q4,services,wholesale and retail trade,"clerical, sales and services workers",5000
2021-Q4,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",1400
2021-Q4,services,transportation and storage,total,6900
2022-Q3,total,total,total,107200
2021-Q4,services,transportation and storage,"professional, managers, executive and technicians",1500
2021-Q4,services,transportation and storage,"clerical, sales and services workers",1100
2021-Q4,services,transportation and storage,"production and transport operators, cleaners and labourers",4200
2021-Q4,services,accommodation and food services,total,8900
2021-Q4,services,accommodation and food services,"professional, managers, executive and technicians",1500
2021-Q4,services,accommodation and food services,"clerical, sales and services workers",5100
2021-Q4,services,accommodation and food services,"production and transport operators, cleaners and labourers",2300
2021-Q4,services,information and communications,total,11100
2021-Q4,services,information and communications,"professional, managers, executive and technicians",10600
2021-Q4,services,information and communications,"clerical, sales and services workers",400
2021-Q4,services,information and communications,"production and transport operators, cleaners and labourers",100
2021-Q4,services,financial and insurance services,total,13100
2021-Q4,services,financial and insurance services,"professional, managers, executive and technicians",12600
2021-Q4,services,financial and insurance services,"clerical, sales and services workers",300
2021-Q4,services,financial and insurance services,"production and transport operators, cleaners and labourers",100
2021-Q4,services,real estate services,total,1800
2021-Q4,services,real estate services,"professional, managers, executive and technicians",900
2021-Q4,services,real estate services,"clerical, sales and services workers",300
2021-Q4,services,real estate services,"production and transport operators, cleaners and labourers",500
2021-Q4,services,professional services,total,8600
2021-Q4,services,professional services,"professional, managers, executive and technicians",7400
2021-Q4,services,professional services,"clerical, sales and services workers",500
2021-Q4,services,professional services,"production and transport operators, cleaners and labourers",700
2021-Q4,services,administrative and support services,total,7200
2021-Q4,services,administrative and support services,"professional, managers, executive and technicians",1600
2021-Q4,services,administrative and support services,"clerical, sales and services workers",2500
2021-Q4,services,administrative and support services,"production and transport operators, cleaners and labourers",3100
2021-Q4,services,"community, social and personal services",total,19000
2021-Q4,services,"community, social and personal services","professional, managers, executive and technicians",14300
2021-Q4,services,"community, social and personal services","clerical, sales and services workers",3700
2021-Q4,services,"community, social and personal services","production and transport operators, cleaners and labourers",900
2021-Q4,others,others,total,700
2021-Q4,others,others,"professional, managers, executive and technicians",500
2021-Q4,others,others,"clerical, sales and services workers",-
2021-Q4,others,others,"production and transport operators, cleaners and labourers",200
2022-Q1,total,total,total,123100
2022-Q1,total,total,"professional, managers, executive and technicians",69700
2022-Q1,total,total,"clerical, sales and services workers",23200
2022-Q1,total,total,"production and transport operators, cleaners and labourers",30100
2022-Q1,manufacturing,"food, beverages and tobacco",total,1800
2022-Q1,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",300
2022-Q1,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",600
2022-Q1,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",1000
2022-Q1,manufacturing,"paper,rubber,plastic products and printing",total,1200
2022-Q1,manufacturing,"paper,rubber,plastic products and printing","professional, managers, executive and technicians",300
2022-Q1,manufacturing,"paper,rubber,plastic products and printing","clerical, sales and services workers",100
2022-Q1,manufacturing,"paper,rubber,plastic products and printing","production and transport operators, cleaners and labourers",800
2022-Q1,manufacturing,"petroleum, chemical and pharmaceutical products",total,1100
2022-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",700
2022-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",100
2022-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",300
2022-Q1,manufacturing,"fabricated metal products, machinery and equipment",total,3800
2022-Q1,manufacturing,"fabricated metal products, machinery and equipment","professional, managers, executive and technicians",1800
2022-Q1,manufacturing,"fabricated metal products, machinery and equipment","clerical, sales and services workers",300
2022-Q1,manufacturing,"fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",1700
2022-Q1,manufacturing,"electronic, computer and optical products",total,3100
2022-Q1,manufacturing,"electronic, computer and optical products","professional, managers, executive and technicians",1600
2022-Q1,manufacturing,"electronic, computer and optical products","clerical, sales and services workers",100
2022-Q1,manufacturing,"electronic, computer and optical products","production and transport operators, cleaners and labourers",1400
2022-Q1,manufacturing,transport equipment,total,2000
2022-Q1,manufacturing,transport equipment,"professional, managers, executive and technicians",1100
2022-Q1,manufacturing,transport equipment,"clerical, sales and services workers",100
2022-Q1,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",800
2022-Q1,manufacturing,other manufacturing industries,total,1500
2022-Q1,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",600
2022-Q1,manufacturing,other manufacturing industries,"clerical, sales and services workers",200
2022-Q1,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",700
2022-Q1,construction,construction,total,12300
2022-Q1,construction,construction,"professional, managers, executive and technicians",2700
2022-Q1,construction,construction,"clerical, sales and services workers",700
2022-Q1,construction,construction,"production and transport operators, cleaners and labourers",8900
2022-Q1,services,wholesale and retail trade,total,11500
2022-Q1,services,wholesale and retail trade,"professional, managers, executive and technicians",4900
2022-Q1,services,wholesale and retail trade,"clerical, sales and services workers",4900
2022-Q1,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",1600
2022-Q1,services,transportation and storage,total,8000
2022-Q1,services,transportation and storage,"professional, managers, executive and technicians",1900
2022-Q1,services,transportation and storage,"clerical, sales and services workers",1300
2022-Q1,services,transportation and storage,"production and transport operators, cleaners and labourers",4800
2022-Q1,services,accommodation and food services,total,9900
2022-Q1,services,accommodation and food services,"professional, managers, executive and technicians",2300
2022-Q1,services,accommodation and food services,"clerical, sales and services workers",5800
2022-Q1,services,accommodation and food services,"production and transport operators, cleaners and labourers",1800
2022-Q1,services,information and communications,total,11700
2022-Q1,services,information and communications,"professional, managers, executive and technicians",11100
2022-Q1,services,information and communications,"clerical, sales and services workers",500
2022-Q1,services,information and communications,"production and transport operators, cleaners and labourers",100
2022-Q1,services,financial and insurance services,total,13100
2022-Q1,services,financial and insurance services,"professional, managers, executive and technicians",12600
2022-Q1,services,financial and insurance services,"clerical, sales and services workers",400
2022-Q1,services,financial and insurance services,"production and transport operators, cleaners and labourers",100
2022-Q1,services,real estate services,total,1900
2022-Q1,services,real estate services,"professional, managers, executive and technicians",900
2022-Q1,services,real estate services,"clerical, sales and services workers",500
2022-Q1,services,real estate services,"production and transport operators, cleaners and labourers",500
2022-Q1,services,professional services,total,9800
2022-Q1,services,professional services,"professional, managers, executive and technicians",8100
2022-Q1,services,professional services,"clerical, sales and services workers",700
2022-Q1,services,professional services,"production and transport operators, cleaners and labourers",1000
2022-Q1,services,administrative and support services,total,7500
2022-Q1,services,administrative and support services,"professional, managers, executive and technicians",1700
2022-Q1,services,administrative and support services,"clerical, sales and services workers",2600
2022-Q1,services,administrative and support services,"production and transport operators, cleaners and labourers",3200
2022-Q1,services,"community, social and personal services",total,22000
2022-Q1,services,"community, social and personal services","professional, managers, executive and technicians",16500
2022-Q1,services,"community, social and personal services","clerical, sales and services workers",4400
2022-Q1,services,"community, social and personal services","production and transport operators, cleaners and labourers",1100
2022-Q1,others,others,total,900
2022-Q1,others,others,"professional, managers, executive and technicians",500
2022-Q1,others,others,"clerical, sales and services workers",-
2022-Q1,others,others,"production and transport operators, cleaners and labourers",400
2022-Q2,total,total,total,127000
