quarter,industry1,industry2,industry3,occupation1,resignation_rate
2018-Q2,services,"community, social and personal services","arts, entertainment and recreation","professional, managers, executive and technicians",1.6
2018-Q2,services,"community, social and personal services","arts, entertainment and recreation","clerical, sales and services workers",2.1
2018-Q2,services,"community, social and personal services","arts, entertainment and recreation","production and transport operators, cleaners and labourers",1.7
2018-Q2,services,"community, social and personal services","other community, social and personal services",total,2.7
2018-Q2,services,"community, social and personal services","other community, social and personal services","professional, managers, executive and technicians",1.8
2018-Q2,services,"community, social and personal services","other community, social and personal services","clerical, sales and services workers",3.4
2018-Q2,services,"community, social and personal services","other community, social and personal services","production and transport operators, cleaners and labourers",3.4
2018-Q2,others,others,others,total,1.4
2018-Q2,others,others,others,"professional, managers, executive and technicians",0.7
2018-Q2,others,others,others,"clerical, sales and services workers",1.6
2018-Q2,others,others,others,"production and transport operators, cleaners and labourers",2.8
2018-Q3,total,total,total,total,1.7
2018-Q3,total,total,total,"professional, managers, executive and technicians",1.3
2018-Q3,total,total,total,"clerical, sales and services workers",2.3
2018-Q3,total,total,total,"production and transport operators, cleaners and labourers",2
2018-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",total,2.8
2018-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","professional, managers, executive and technicians",1.9
2018-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","clerical, sales and services workers",3.5
2018-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","production and transport operators, cleaners and labourers",2.8
2018-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",total,1.6
2018-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing","professional, managers, executive and technicians",1.4
2018-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing","clerical, sales and services workers",2.1
2018-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing","production and transport operators, cleaners and labourers",1.7
2018-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",total,1
2018-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",0.9
2018-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","clerical, sales and services workers",0.6
2018-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",1.4
2018-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",total,1.5
2018-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment","professional, managers, executive and technicians",1.3
2018-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment","clerical, sales and services workers",1.5
2018-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",1.6
2018-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",total,1.6
2018-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products","professional, managers, executive and technicians",1.1
2018-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products","clerical, sales and services workers",1.6
2018-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products","production and transport operators, cleaners and labourers",2.3
2018-Q3,manufacturing,transport equipment,transport equipment,total,1.2
2018-Q3,manufacturing,transport equipment,transport equipment,"professional, managers, executive and technicians",0.9
2018-Q3,manufacturing,transport equipment,transport equipment,"clerical, sales and services workers",1.3
2018-Q3,manufacturing,transport equipment,transport equipment,"production and transport operators, cleaners and labourers",1.4
2018-Q3,manufacturing,other manufacturing industries,other manufacturing industries,total,1.5
2018-Q3,manufacturing,other manufacturing industries,other manufacturing industries,"professional, managers, executive and technicians",1.4
2018-Q3,manufacturing,other manufacturing industries,other manufacturing industries,"clerical, sales and services workers",2.2
2018-Q3,manufacturing,other manufacturing industries,other manufacturing industries,"production and transport operators, cleaners and labourers",1.5
2018-Q3,construction,construction,construction,total,1.7
2018-Q3,construction,construction,construction,"professional, managers, executive and technicians",1.6
2018-Q3,construction,construction,construction,"clerical, sales and services workers",1.6
2018-Q3,construction,construction,construction,"production and transport operators, cleaners and labourers",1.7
2018-Q3,services,wholesale and retail trade,wholesale trade,total,1.5
2018-Q3,services,wholesale and retail trade,wholesale trade,"professional, managers, executive and technicians",1.2
2018-Q3,services,wholesale and retail trade,wholesale trade,"clerical, sales and services workers",2
2018-Q3,services,wholesale and retail trade,wholesale trade,"production and transport operators, cleaners and labourers",1.8
2018-Q3,services,wholesale and retail trade,retail trade,total,2.8
2018-Q3,services,wholesale and retail trade,retail trade,"professional, managers, executive and technicians",1.7
2018-Q3,services,wholesale and retail trade,retail trade,"clerical, sales and services workers",3.3
2018-Q3,services,wholesale and retail trade,retail trade,"production and transport operators, cleaners and labourers",2
2018-Q3,services,transportation and storage,land transport and supporting services,total,1.1
2018-Q3,services,transportation and storage,land transport and supporting services,"professional, managers, executive and technicians",1
2018-Q3,services,transportation and storage,land transport and supporting services,"clerical, sales and services workers",1.7
2018-Q3,services,transportation and storage,land transport and supporting services,"production and transport operators, cleaners and labourers",1
2018-Q3,services,transportation and storage,water transport and supporting services,total,0.9
2018-Q3,services,transportation and storage,water transport and supporting services,"professional, managers, executive and technicians",1
2018-Q3,services,transportation and storage,water transport and supporting services,"clerical, sales and services workers",1.3
2018-Q3,services,transportation and storage,water transport and supporting services,"production and transport operators, cleaners and labourers",0.6
2018-Q3,services,transportation and storage,air transport and supporting services,total,1
2018-Q3,services,transportation and storage,air transport and supporting services,"professional, managers, executive and technicians",0.7
2018-Q3,services,transportation and storage,air transport and supporting services,"clerical, sales and services workers",1.1
2018-Q3,services,transportation and storage,air transport and supporting services,"production and transport operators, cleaners and labourers",1.2
2018-Q3,services,transportation and storage,other transport and storage services,total,1.7
2018-Q3,services,transportation and storage,other transport and storage services,"professional, managers, executive and technicians",1.5
2018-Q3,services,transportation and storage,other transport and storage services,"clerical, sales and services workers",2
2018-Q3,services,transportation and storage,other transport and storage services,"production and transport operators, cleaners and labourers",1.8
2018-Q3,services,accommodation and food services,accommodation,total,2.4
2018-Q3,services,accommodation and food services,accommodation,"professional, managers, executive and technicians",2.3
2018-Q3,services,accommodation and food services,accommodation,"clerical, sales and services workers",2.6
2018-Q3,services,accommodation and food services,accommodation,"production and transport operators, cleaners and labourers",2.2
2018-Q3,services,accommodation and food services,food and beverage services,total,3
2018-Q3,services,accommodation and food services,food and beverage services,"professional, managers, executive and technicians",1.9
2018-Q3,services,accommodation and food services,food and beverage services,"clerical, sales and services workers",3.3
2018-Q3,services,accommodation and food services,food and beverage services,"production and transport operators, cleaners and labourers",3
2018-Q3,services,information and communications,"telecommunications, broadcasting and publishing",total,1.1
2018-Q3,services,information and communications,"telecommunications, broadcasting and publishing","professional, managers, executive and technicians",1.1
2018-Q3,services,information and communications,"telecommunications, broadcasting and publishing","clerical, sales and services workers",1.5
2018-Q3,services,information and communications,"telecommunications, broadcasting and publishing","production and transport operators, cleaners and labourers",0.5
2018-Q3,services,information and communications,it and other information services,total,1.7
2018-Q3,services,information and communications,it and other information services,"professional, managers, executive and technicians",1.7
2018-Q3,services,information and communications,it and other information services,"clerical, sales and services workers",1.9
2018-Q3,services,information and communications,it and other information services,"production and transport operators, cleaners and labourers",1.5
2018-Q3,services,financial and insurance services,financial services,total,1.5
2018-Q3,services,financial and insurance services,financial services,"professional, managers, executive and technicians",1.5
2018-Q3,services,financial and insurance services,financial services,"clerical, sales and services workers",1.6
2018-Q3,services,financial and insurance services,financial services,"production and transport operators, cleaners and labourers",0.3
2018-Q3,services,financial and insurance services,insurance services,total,1.7
2018-Q3,services,financial and insurance services,insurance services,"professional, managers, executive and technicians",1.6
2018-Q3,services,financial and insurance services,insurance services,"clerical, sales and services workers",2
2018-Q3,services,financial and insurance services,insurance services,"production and transport operators, cleaners and labourers",0.8
2018-Q3,services,real estate services,real estate services,total,2.5
2018-Q3,services,real estate services,real estate services,"professional, managers, executive and technicians",1.9
2018-Q3,services,real estate services,real estate services,"clerical, sales and services workers",2.2
2018-Q3,services,real estate services,real estate services,"production and transport operators, cleaners and labourers",3.6
2018-Q3,services,professional services,"legal, accounting and management services",total,1.6
2018-Q3,services,professional services,"legal, accounting and management services","professional, managers, executive and technicians",1.6
2018-Q3,services,professional services,"legal, accounting and management services","clerical, sales and services workers",1.8
2018-Q3,services,professional services,"legal, accounting and management services","production and transport operators, cleaners and labourers",0.4
2018-Q3,services,professional services,architectural and engineering services,total,1.6
2018-Q3,services,professional services,architectural and engineering services,"professional, managers, executive and technicians",1.4
2018-Q3,services,professional services,architectural and engineering services,"clerical, sales and services workers",1.6
2018-Q3,services,professional services,architectural and engineering services,"production and transport operators, cleaners and labourers",1.9
2018-Q3,services,professional services,other professional services,total,1.8
2018-Q3,services,professional services,other professional services,"professional, managers, executive and technicians",1.9
2018-Q3,services,professional services,other professional services,"clerical, sales and services workers",0.9
2018-Q3,services,professional services,other professional services,"production and transport operators, cleaners and labourers",1.8
2018-Q3,services,administrative and support services,security and investigation,total,2.5
2018-Q3,services,administrative and support services,security and investigation,"professional, managers, executive and technicians",1.5
2018-Q3,services,administrative and support services,security and investigation,"clerical, sales and services workers",2.7
2018-Q3,services,administrative and support services,security and investigation,"production and transport operators, cleaners and labourers",1
2018-Q3,services,administrative and support services,cleaning and landscaping,total,4.3
2018-Q3,services,administrative and support services,cleaning and landscaping,"professional, managers, executive and technicians",2.1
2018-Q3,services,administrative and support services,cleaning and landscaping,"clerical, sales and services workers",2.8
2018-Q3,services,administrative and support services,cleaning and landscaping,"production and transport operators, cleaners and labourers",4.6
2018-Q3,services,administrative and support services,other adminstrative and support services,total,2.3
2018-Q3,services,administrative and support services,other adminstrative and support services,"professional, managers, executive and technicians",2.1
2018-Q3,services,administrative and support services,other adminstrative and support services,"clerical, sales and services workers",2.6
2018-Q3,services,administrative and support services,other adminstrative and support services,"production and transport operators, cleaners and labourers",2.6
2018-Q3,services,"community, social and personal services",public administration and education,total,0.8
2018-Q3,services,"community, social and personal services",public administration and education,"professional, managers, executive and technicians",0.8
2018-Q3,services,"community, social and personal services",public administration and education,"clerical, sales and services workers",1.3
2018-Q3,services,"community, social and personal services",public administration and education,"production and transport operators, cleaners and labourers",0.7
2018-Q3,services,"community, social and personal services",health and social services,total,1.2
2018-Q3,services,"community, social and personal services",health and social services,"professional, managers, executive and technicians",1.1
2018-Q3,services,"community, social and personal services",health and social services,"clerical, sales and services workers",1.5
2018-Q3,services,"community, social and personal services",health and social services,"production and transport operators, cleaners and labourers",1.5
2018-Q3,services,"community, social and personal services","arts, entertainment and recreation",total,1.5
2018-Q3,services,"community, social and personal services","arts, entertainment and recreation","professional, managers, executive and technicians",1.3
2018-Q3,services,"community, social and personal services","arts, entertainment and recreation","clerical, sales and services workers",1.7
2018-Q3,services,"community, social and personal services","arts, entertainment and recreation","production and transport operators, cleaners and labourers",1.6
2018-Q3,services,"community, social and personal services","other community, social and personal services",total,1.8
2018-Q3,services,"community, social and personal services","other community, social and personal services","professional, managers, executive and technicians",1.2
2018-Q3,services,"community, social and personal services","other community, social and personal services","clerical, sales and services workers",2.1
2018-Q3,services,"community, social and personal services","other community, social and personal services","production and transport operators, cleaners and labourers",2.4
2018-Q3,others,others,others,total,1.3
2018-Q3,others,others,others,"professional, managers, executive and technicians",0.8
2018-Q3,others,others,others,"clerical, sales and services workers",1.8
2018-Q3,others,others,others,"production and transport operators, cleaners and labourers",2.2
2018-Q4,total,total,total,total,1.6
2018-Q4,total,total,total,"professional, managers, executive and technicians",1.1
2018-Q4,total,total,total,"clerical, sales and services workers",2.4
2018-Q4,total,total,total,"production and transport operators, cleaners and labourers",1.9
2018-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",total,2.5
2018-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","professional, managers, executive and technicians",1.9
2018-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","clerical, sales and services workers",3
2018-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","production and transport operators, cleaners and labourers",2.6
2018-Q4,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",total,1.2
2018-Q4,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing","professional, managers, executive and technicians",0.9
2018-Q4,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing","clerical, sales and services workers",1
2018-Q4,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing","production and transport operators, cleaners and labourers",1.4
2018-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",total,0.7
2018-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",0.6
2018-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","clerical, sales and services workers",1
2018-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",1
2018-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",total,1.1
2018-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment","professional, managers, executive and technicians",1.2
2018-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment","clerical, sales and services workers",1.5
2018-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",1
2018-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",total,1.1
2018-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products","professional, managers, executive and technicians",0.8
2018-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products","clerical, sales and services workers",0.9
2018-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products","production and transport operators, cleaners and labourers",1.6
2018-Q4,manufacturing,transport equipment,transport equipment,total,1.2
2018-Q4,manufacturing,transport equipment,transport equipment,"professional, managers, executive and technicians",0.8
2018-Q4,manufacturing,transport equipment,transport equipment,"clerical, sales and services workers",2
2018-Q4,manufacturing,transport equipment,transport equipment,"production and transport operators, cleaners and labourers",1.2
2018-Q4,manufacturing,other manufacturing industries,other manufacturing industries,total,1.5
2018-Q4,manufacturing,other manufacturing industries,other manufacturing industries,"professional, managers, executive and technicians",1.1
2018-Q4,manufacturing,other manufacturing industries,other manufacturing industries,"clerical, sales and services workers",3.5
2018-Q4,manufacturing,other manufacturing industries,other manufacturing industries,"production and transport operators, cleaners and labourers",1.6
2018-Q4,construction,construction,construction,total,1.7
2018-Q4,construction,construction,construction,"professional, managers, executive and technicians",1.7
2018-Q4,construction,construction,construction,"clerical, sales and services workers",2
2018-Q4,construction,construction,construction,"production and transport operators, cleaners and labourers",1.7
2018-Q4,services,wholesale and retail trade,wholesale trade,total,1.4
2018-Q4,services,wholesale and retail trade,wholesale trade,"professional, managers, executive and technicians",1.2
2018-Q4,services,wholesale and retail trade,wholesale trade,"clerical, sales and services workers",1.7
2018-Q4,services,wholesale and retail trade,wholesale trade,"production and transport operators, cleaners and labourers",1.5
2018-Q4,services,wholesale and retail trade,retail trade,total,2.3
2018-Q4,services,wholesale and retail trade,retail trade,"professional, managers, executive and technicians",1.1
2018-Q4,services,wholesale and retail trade,retail trade,"clerical, sales and services workers",2.5
2018-Q4,services,wholesale and retail trade,retail trade,"production and transport operators, cleaners and labourers",2.8
2018-Q4,services,transportation and storage,land transport and supporting services,total,1
2018-Q4,services,transportation and storage,land transport and supporting services,"professional, managers, executive and technicians",0.8
2018-Q4,services,transportation and storage,land transport and supporting services,"clerical, sales and services workers",1.6
2018-Q4,services,transportation and storage,land transport and supporting services,"production and transport operators, cleaners and labourers",1
2018-Q4,services,transportation and storage,water transport and supporting services,total,0.7
2018-Q4,services,transportation and storage,water transport and supporting services,"professional, managers, executive and technicians",0.7
2018-Q4,services,transportation and storage,water transport and supporting services,"clerical, sales and services workers",0.8
2018-Q4,services,transportation and storage,water transport and supporting services,"production and transport operators, cleaners and labourers",0.6
2018-Q4,services,transportation and storage,air transport and supporting services,total,1
2018-Q4,services,transportation and storage,air transport and supporting services,"professional, managers, executive and technicians",0.6
2018-Q4,services,transportation and storage,air transport and supporting services,"clerical, sales and services workers",0.9
2018-Q4,services,transportation and storage,air transport and supporting services,"production and transport operators, cleaners and labourers",1.8
2018-Q4,services,transportation and storage,other transport and storage services,total,1.8
2018-Q4,services,transportation and storage,other transport and storage services,"professional, managers, executive and technicians",1.6
2018-Q4,services,transportation and storage,other transport and storage services,"clerical, sales and services workers",2.2
2018-Q4,services,transportation and storage,other transport and storage services,"production and transport operators, cleaners and labourers",1.8
2018-Q4,services,accommodation and food services,accommodation,total,1.8
2018-Q4,services,accommodation and food services,accommodation,"professional, managers, executive and technicians",1.5
2018-Q4,services,accommodation and food services,accommodation,"clerical, sales and services workers",1.9
2018-Q4,services,accommodation and food services,accommodation,"production and transport operators, cleaners and labourers",2.1
2018-Q4,services,accommodation and food services,food and beverage services,total,3.5
2018-Q4,services,accommodation and food services,food and beverage services,"professional, managers, executive and technicians",2.1
2018-Q4,services,accommodation and food services,food and beverage services,"clerical, sales and services workers",4.1
2018-Q4,services,accommodation and food services,food and beverage services,"production and transport operators, cleaners and labourers",3
2018-Q4,services,information and communications,"telecommunications, broadcasting and publishing",total,0.9
2018-Q4,services,information and communications,"telecommunications, broadcasting and publishing","professional, managers, executive and technicians",0.9
2018-Q4,services,information and communications,"telecommunications, broadcasting and publishing","clerical, sales and services workers",1.1
2018-Q4,services,information and communications,"telecommunications, broadcasting and publishing","production and transport operators, cleaners and labourers",0.5
2018-Q4,services,information and communications,it and other information services,total,1.5
2018-Q4,services,information and communications,it and other information services,"professional, managers, executive and technicians",1.4
2018-Q4,services,information and communications,it and other information services,"clerical, sales and services workers",2.3
2018-Q4,services,information and communications,it and other information services,"production and transport operators, cleaners and labourers",1.5
2018-Q4,services,financial and insurance services,financial services,total,1.4
2018-Q4,services,financial and insurance services,financial services,"professional, managers, executive and technicians",1.3
2018-Q4,services,financial and insurance services,financial services,"clerical, sales and services workers",2
2018-Q4,services,financial and insurance services,financial services,"production and transport operators, cleaners and labourers",1.4
2018-Q4,services,financial and insurance services,insurance services,total,1.4
2018-Q4,services,financial and insurance services,insurance services,"professional, managers, executive and technicians",1.4
2018-Q4,services,financial and insurance services,insurance services,"clerical, sales and services workers",1.7
2018-Q4,services,financial and insurance services,insurance services,"production and transport operators, cleaners and labourers",0.5
2018-Q4,services,real estate services,real estate services,total,2.2
2018-Q4,services,real estate services,real estate services,"professional, managers, executive and technicians",1.2
2018-Q4,services,real estate services,real estate services,"clerical, sales and services workers",2.2
2018-Q4,services,real estate services,real estate services,"production and transport operators, cleaners and labourers",3.6
2018-Q4,services,professional services,"legal, accounting and management services",total,1.5
2018-Q4,services,professional services,"legal, accounting and management services","professional, managers, executive and technicians",1.6
2018-Q4,services,professional services,"legal, accounting and management services","clerical, sales and services workers",1.3
2018-Q4,services,professional services,"legal, accounting and management services","production and transport operators, cleaners and labourers",0.3
2018-Q4,services,professional services,architectural and engineering services,total,1.8
2018-Q4,services,professional services,architectural and engineering services,"professional, managers, executive and technicians",1.2
2018-Q4,services,professional services,architectural and engineering services,"clerical, sales and services workers",2.6
2018-Q4,services,professional services,architectural and engineering services,"production and transport operators, cleaners and labourers",2.8
2018-Q4,services,professional services,other professional services,total,1.7
2018-Q4,services,professional services,other professional services,"professional, managers, executive and technicians",1.6
2018-Q4,services,professional services,other professional services,"clerical, sales and services workers",1.1
2018-Q4,services,professional services,other professional services,"production and transport operators, cleaners and labourers",3.2
2018-Q4,services,administrative and support services,security and investigation,total,3.1
2018-Q4,services,administrative and support services,security and investigation,"professional, managers, executive and technicians",2.4
2018-Q4,services,administrative and support services,security and investigation,"clerical, sales and services workers",3.2
2018-Q4,services,administrative and support services,security and investigation,"production and transport operators, cleaners and labourers",3
2018-Q4,services,administrative and support services,cleaning and landscaping,total,3.9
2018-Q4,services,administrative and support services,cleaning and landscaping,"professional, managers, executive and technicians",1.4
2018-Q4,services,administrative and support services,cleaning and landscaping,"clerical, sales and services workers",2.7
2018-Q4,services,administrative and support services,cleaning and landscaping,"production and transport operators, cleaners and labourers",4.2
2018-Q4,services,administrative and support services,other adminstrative and support services,total,2.5
2018-Q4,services,administrative and support services,other adminstrative and support services,"professional, managers, executive and technicians",2.1
2018-Q4,services,administrative and support services,other adminstrative and support services,"clerical, sales and services workers",2.7
2018-Q4,services,administrative and support services,other adminstrative and support services,"production and transport operators, cleaners and labourers",3.1
2018-Q4,services,"community, social and personal services",public administration and education,total,0.5
2018-Q4,services,"community, social and personal services",public administration and education,"professional, managers, executive and technicians",0.5
2018-Q4,services,"community, social and personal services",public administration and education,"clerical, sales and services workers",0.9
2018-Q4,services,"community, social and personal services",public administration and education,"production and transport operators, cleaners and labourers",0.4
2018-Q4,services,"community, social and personal services",health and social services,total,1
2018-Q4,services,"community, social and personal services",health and social services,"professional, managers, executive and technicians",0.9
2018-Q4,services,"community, social and personal services",health and social services,"clerical, sales and services workers",1.2
2018-Q4,services,"community, social and personal services",health and social services,"production and transport operators, cleaners and labourers",1
2018-Q4,services,"community, social and personal services","arts, entertainment and recreation",total,1.2
2018-Q4,services,"community, social and personal services","arts, entertainment and recreation","professional, managers, executive and technicians",1.2
2018-Q4,services,"community, social and personal services","arts, entertainment and recreation","clerical, sales and services workers",1.3
2018-Q4,services,"community, social and personal services","arts, entertainment and recreation","production and transport operators, cleaners and labourers",0.7
2018-Q4,services,"community, social and personal services","other community, social and personal services",total,2.5
2018-Q4,services,"community, social and personal services","other community, social and personal services","professional, managers, executive and technicians",1.9
2018-Q4,services,"community, social and personal services","other community, social and personal services","clerical, sales and services workers",3.3
2018-Q4,services,"community, social and personal services","other community, social and personal services","production and transport operators, cleaners and labourers",2.2
2018-Q4,others,others,others,total,1.1
2018-Q4,others,others,others,"professional, managers, executive and technicians",0.6
2018-Q4,others,others,others,"clerical, sales and services workers",2
2018-Q4,others,others,others,"production and transport operators, cleaners and labourers",1.8
2019-Q1,total,total,total,total,1.8
2019-Q1,total,total,total,"professional, managers, executive and technicians",1.3
2019-Q1,total,total,total,"clerical, sales and services workers",2.6
2019-Q1,total,total,total,"production and transport operators, cleaners and labourers",2.3
2019-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",total,3
2019-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","professional, managers, executive and technicians",1.6
2019-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","clerical, sales and services workers",3.8
2019-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","production and transport operators, cleaners and labourers",3.2
2019-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",total,1.9
2019-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing","professional, managers, executive and technicians",1.1
2019-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing","clerical, sales and services workers",1.2
2019-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing","production and transport operators, cleaners and labourers",2.6
2019-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",total,0.8
2019-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",0.6
2019-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","clerical, sales and services workers",0.9
2019-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",1.6
2019-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",total,1.8
2019-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment","professional, managers, executive and technicians",1.6
2019-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment","clerical, sales and services workers",1.9
2019-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",1.8
2019-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",total,1.8
2019-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products","professional, managers, executive and technicians",1.2
2019-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products","clerical, sales and services workers",1.7
2019-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products","production and transport operators, cleaners and labourers",2.6
2019-Q1,manufacturing,transport equipment,transport equipment,total,1.3
2019-Q1,manufacturing,transport equipment,transport equipment,"professional, managers, executive and technicians",0.9
2019-Q1,manufacturing,transport equipment,transport equipment,"clerical, sales and services workers",1.4
2019-Q1,manufacturing,transport equipment,transport equipment,"production and transport operators, cleaners and labourers",1.6
2019-Q1,manufacturing,other manufacturing industries,other manufacturing industries,total,1.7
2019-Q1,manufacturing,other manufacturing industries,other manufacturing industries,"professional, managers, executive and technicians",1.3
2019-Q1,manufacturing,other manufacturing industries,other manufacturing industries,"clerical, sales and services workers",2.2
2019-Q1,manufacturing,other manufacturing industries,other manufacturing industries,"production and transport operators, cleaners and labourers",1.9
2019-Q1,construction,construction,construction,total,2
2019-Q1,construction,construction,construction,"professional, managers, executive and technicians",2.1
2019-Q1,construction,construction,construction,"clerical, sales and services workers",2.5
2019-Q1,construction,construction,construction,"production and transport operators, cleaners and labourers",1.9
2019-Q1,services,wholesale and retail trade,wholesale trade,total,1.4
2019-Q1,services,wholesale and retail trade,wholesale trade,"professional, managers, executive and technicians",1.2
2019-Q1,services,wholesale and retail trade,wholesale trade,"clerical, sales and services workers",1.6
2019-Q1,services,wholesale and retail trade,wholesale trade,"production and transport operators, cleaners and labourers",1.7
2019-Q1,services,wholesale and retail trade,retail trade,total,2.4
2019-Q1,services,wholesale and retail trade,retail trade,"professional, managers, executive and technicians",1.4
2019-Q1,services,wholesale and retail trade,retail trade,"clerical, sales and services workers",2.9
2019-Q1,services,wholesale and retail trade,retail trade,"production and transport operators, cleaners and labourers",2
2019-Q1,services,transportation and storage,land transport and supporting services,total,1.1
2019-Q1,services,transportation and storage,land transport and supporting services,"professional, managers, executive and technicians",0.9
2019-Q1,services,transportation and storage,land transport and supporting services,"clerical, sales and services workers",1.6
2019-Q1,services,transportation and storage,land transport and supporting services,"production and transport operators, cleaners and labourers",1.1
2019-Q1,services,transportation and storage,water transport and supporting services,total,1
2019-Q1,services,transportation and storage,water transport and supporting services,"professional, managers, executive and technicians",1.1
2019-Q1,services,transportation and storage,water transport and supporting services,"clerical, sales and services workers",1.4
2019-Q1,services,transportation and storage,water transport and supporting services,"production and transport operators, cleaners and labourers",0.9
2019-Q1,services,transportation and storage,air transport and supporting services,total,1.1
2019-Q1,services,transportation and storage,air transport and supporting services,"professional, managers, executive and technicians",0.8
2019-Q1,services,transportation and storage,air transport and supporting services,"clerical, sales and services workers",1
2019-Q1,services,transportation and storage,air transport and supporting services,"production and transport operators, cleaners and labourers",2.7
2019-Q1,services,transportation and storage,other transport and storage services,total,2.3
2019-Q1,services,transportation and storage,other transport and storage services,"professional, managers, executive and technicians",1.9
2019-Q1,services,transportation and storage,other transport and storage services,"clerical, sales and services workers",2.8
2019-Q1,services,transportation and storage,other transport and storage services,"production and transport operators, cleaners and labourers",2.4
2019-Q1,services,accommodation and food services,accommodation,total,2.5
2019-Q1,services,accommodation and food services,accommodation,"professional, managers, executive and technicians",2.2
