quarter,industry1,occupation1,resignation_rate
2018-Q4,services,total,1.7
2018-Q4,services,"professional, managers, executive and technicians",1.2
2018-Q4,services,"clerical, sales and services workers",2.4
2018-Q4,services,"production and transport operators, cleaners and labourers",2.4
2018-Q4,others,total,1.1
2018-Q4,others,"professional, managers, executive and technicians",0.6
2018-Q4,others,"clerical, sales and services workers",2
2018-Q4,others,"production and transport operators, cleaners and labourers",1.8
2019-Q1,total,total,1.8
2019-Q1,total,"professional, managers, executive and technicians",1.3
2019-Q1,total,"clerical, sales and services workers",2.6
2019-Q1,total,"production and transport operators, cleaners and labourers",2.3
2019-Q1,manufacturing,total,1.7
2019-Q1,manufacturing,"professional, managers, executive and technicians",1.2
2019-Q1,manufacturing,"clerical, sales and services workers",2.3
2019-Q1,manufacturing,"production and transport operators, cleaners and labourers",2.1
2019-Q1,construction,total,2
2019-Q1,construction,"professional, managers, executive and technicians",2.1
2019-Q1,construction,"clerical, sales and services workers",2.5
2019-Q1,construction,"production and transport operators, cleaners and labourers",1.9
2019-Q1,services,total,1.8
2019-Q1,services,"professional, managers, executive and technicians",1.2
2019-Q1,services,"clerical, sales and services workers",2.6
2019-Q1,services,"production and transport operators, cleaners and labourers",2.7
2019-Q1,others,total,1.2
2019-Q1,others,"professional, managers, executive and technicians",0.7
2019-Q1,others,"clerical, sales and services workers",4.6
2019-Q1,others,"production and transport operators, cleaners and labourers",2
2019-Q2,total,total,2
2019-Q2,total,"professional, managers, executive and technicians",1.4
2019-Q2,total,"clerical, sales and services workers",3
2019-Q2,total,"production and transport operators, cleaners and labourers",2.3
2019-Q2,manufacturing,total,1.7
2019-Q2,manufacturing,"professional, managers, executive and technicians",1.2
2019-Q2,manufacturing,"clerical, sales and services workers",2.6
2019-Q2,manufacturing,"production and transport operators, cleaners and labourers",2
2019-Q2,construction,total,2
2019-Q2,construction,"professional, managers, executive and technicians",2
2019-Q2,construction,"clerical, sales and services workers",2.4
2019-Q2,construction,"production and transport operators, cleaners and labourers",1.9
2019-Q2,services,total,2.1
2019-Q2,services,"professional, managers, executive and technicians",1.4
2019-Q2,services,"clerical, sales and services workers",3
2019-Q2,services,"production and transport operators, cleaners and labourers",2.9
2019-Q2,others,total,1.3
2019-Q2,others,"professional, managers, executive and technicians",0.7
2019-Q2,others,"clerical, sales and services workers",1.9
2019-Q2,others,"production and transport operators, cleaners and labourers",2.2
2019-Q3,total,total,1.8
2019-Q3,total,"professional, managers, executive and technicians",1.3
2019-Q3,total,"clerical, sales and services workers",2.6
2019-Q3,total,"production and transport operators, cleaners and labourers",2.1
2019-Q3,manufacturing,total,1.4
2019-Q3,manufacturing,"professional, managers, executive and technicians",1
2019-Q3,manufacturing,"clerical, sales and services workers",2
2019-Q3,manufacturing,"production and transport operators, cleaners and labourers",1.7
2019-Q3,construction,total,1.8
2019-Q3,construction,"professional, managers, executive and technicians",1.9
2019-Q3,construction,"clerical, sales and services workers",1.8
2019-Q3,construction,"production and transport operators, cleaners and labourers",1.7
2019-Q3,services,total,1.9
2019-Q3,services,"professional, managers, executive and technicians",1.3
2019-Q3,services,"clerical, sales and services workers",2.7
2019-Q3,services,"production and transport operators, cleaners and labourers",2.5
2019-Q3,others,total,1.1
2019-Q3,others,"professional, managers, executive and technicians",0.7
2019-Q3,others,"clerical, sales and services workers",0.9
2019-Q3,others,"production and transport operators, cleaners and labourers",1.9
2019-Q4,total,total,1.5
2019-Q4,total,"professional, managers, executive and technicians",1
2019-Q4,total,"clerical, sales and services workers",2.3
2019-Q4,total,"production and transport operators, cleaners and labourers",1.7
2019-Q4,manufacturing,total,1
2019-Q4,manufacturing,"professional, managers, executive and technicians",0.7
2019-Q4,manufacturing,"clerical, sales and services workers",1.4
2019-Q4,manufacturing,"production and transport operators, cleaners and labourers",1.1
2019-Q4,construction,total,1.4
2019-Q4,construction,"professional, managers, executive and technicians",1.3
2019-Q4,construction,"clerical, sales and services workers",1.2
2019-Q4,construction,"production and transport operators, cleaners and labourers",1.4
2019-Q4,services,total,1.6
2019-Q4,services,"professional, managers, executive and technicians",1
2019-Q4,services,"clerical, sales and services workers",2.4
2019-Q4,services,"production and transport operators, cleaners and labourers",2.2
2019-Q4,others,total,1
2019-Q4,others,"professional, managers, executive and technicians",0.5
2019-Q4,others,"clerical, sales and services workers",0.8
2019-Q4,others,"production and transport operators, cleaners and labourers",2.1
2020-Q1,total,total,1.7
2020-Q1,total,"professional, managers, executive and technicians",1
2020-Q1,total,"clerical, sales and services workers",2.5
2020-Q1,total,"production and transport operators, cleaners and labourers",2.1
2020-Q1,manufacturing,total,1.3
2020-Q1,manufacturing,"professional, managers, executive and technicians",0.9
2020-Q1,manufacturing,"clerical, sales and services workers",1.8
2020-Q1,manufacturing,"production and transport operators, cleaners and labourers",1.6
2020-Q1,construction,total,1.8
2020-Q1,construction,"professional, managers, executive and technicians",1.4
2020-Q1,construction,"clerical, sales and services workers",1.4
2020-Q1,construction,"production and transport operators, cleaners and labourers",2
2020-Q1,services,total,1.7
2020-Q1,services,"professional, managers, executive and technicians",1.1
2020-Q1,services,"clerical, sales and services workers",2.6
2020-Q1,services,"production and transport operators, cleaners and labourers",2.5
2020-Q1,others,total,1.2
2020-Q1,others,"professional, managers, executive and technicians",0.5
2020-Q1,others,"clerical, sales and services workers",0.4
2020-Q1,others,"production and transport operators, cleaners and labourers",2.4
2020-Q2,total,total,1.3
2020-Q2,total,"professional, managers, executive and technicians",0.9
2020-Q2,total,"clerical, sales and services workers",2.3
2020-Q2,total,"production and transport operators, cleaners and labourers",1.5
2020-Q2,manufacturing,total,0.9
2020-Q2,manufacturing,"professional, managers, executive and technicians",0.7
2020-Q2,manufacturing,"clerical, sales and services workers",1.7
2020-Q2,manufacturing,"production and transport operators, cleaners and labourers",1
2020-Q2,construction,total,0.7
2020-Q2,construction,"professional, managers, executive and technicians",0.9
2020-Q2,construction,"clerical, sales and services workers",1.1
2020-Q2,construction,"production and transport operators, cleaners and labourers",0.6
2020-Q2,services,total,1.5
2020-Q2,services,"professional, managers, executive and technicians",0.9
2020-Q2,services,"clerical, sales and services workers",2.4
2020-Q2,services,"production and transport operators, cleaners and labourers",2.3
2020-Q2,others,total,0.8
2020-Q2,others,"professional, managers, executive and technicians",0.4
2020-Q2,others,"clerical, sales and services workers",0.6
2020-Q2,others,"production and transport operators, cleaners and labourers",1.5
2020-Q3,total,total,1.6
2020-Q3,total,"professional, managers, executive and technicians",0.9
2020-Q3,total,"clerical, sales and services workers",2.4
2020-Q3,total,"production and transport operators, cleaners and labourers",2.2
2020-Q3,manufacturing,total,1.3
2020-Q3,manufacturing,"professional, managers, executive and technicians",0.8
2020-Q3,manufacturing,"clerical, sales and services workers",1.5
2020-Q3,manufacturing,"production and transport operators, cleaners and labourers",1.7
2020-Q3,construction,total,1.6
2020-Q3,construction,"professional, managers, executive and technicians",1.2
2020-Q3,construction,"clerical, sales and services workers",1.4
2020-Q3,construction,"production and transport operators, cleaners and labourers",1.8
2020-Q3,services,total,1.6
2020-Q3,services,"professional, managers, executive and technicians",0.9
2020-Q3,services,"clerical, sales and services workers",2.6
2020-Q3,services,"production and transport operators, cleaners and labourers",2.7
2020-Q3,others,total,0.9
2020-Q3,others,"professional, managers, executive and technicians",0.5
2020-Q3,others,"clerical, sales and services workers",0.5
2020-Q3,others,"production and transport operators, cleaners and labourers",1.8
2020-Q4,total,total,1.5
2020-Q4,total,"professional, managers, executive and technicians",1
2020-Q4,total,"clerical, sales and services workers",2.2
2020-Q4,total,"production and transport operators, cleaners and labourers",2
2020-Q4,manufacturing,total,1.4
2020-Q4,manufacturing,"professional, managers, executive and technicians",0.8
2020-Q4,manufacturing,"clerical, sales and services workers",1.7
2020-Q4,manufacturing,"production and transport operators, cleaners and labourers",2
2020-Q4,construction,total,1.6
2020-Q4,construction,"professional, managers, executive and technicians",1.2
2020-Q4,construction,"clerical, sales and services workers",1.4
2020-Q4,construction,"production and transport operators, cleaners and labourers",1.7
2020-Q4,services,total,1.5
2020-Q4,services,"professional, managers, executive and technicians",1
2020-Q4,services,"clerical, sales and services workers",2.3
2020-Q4,services,"production and transport operators, cleaners and labourers",2.2
2020-Q4,others,total,0.8
2020-Q4,others,"professional, managers, executive and technicians",0.4
2020-Q4,others,"clerical, sales and services workers",0.7
2020-Q4,others,"production and transport operators, cleaners and labourers",1.6
2021-Q1,total,total,1.6
2021-Q1,total,"professional, managers, executive and technicians",1.1
2021-Q1,total,"clerical, sales and services workers",2.6
2021-Q1,total,"production and transport operators, cleaners and labourers",2
2021-Q1,manufacturing,total,1.5
2021-Q1,manufacturing,"professional, managers, executive and technicians",1
2021-Q1,manufacturing,"clerical, sales and services workers",1.9
2021-Q1,manufacturing,"production and transport operators, cleaners and labourers",1.9
2021-Q1,construction,total,1.3
2021-Q1,construction,"professional, managers, executive and technicians",1.2
2021-Q1,construction,"clerical, sales and services workers",1.2
2021-Q1,construction,"production and transport operators, cleaners and labourers",1.4
2021-Q1,services,total,1.8
2021-Q1,services,"professional, managers, executive and technicians",1.2
2021-Q1,services,"clerical, sales and services workers",2.8
2021-Q1,services,"production and transport operators, cleaners and labourers",2.4
2021-Q1,others,total,1
2021-Q1,others,"professional, managers, executive and technicians",0.6
2021-Q1,others,"clerical, sales and services workers",1.1
2021-Q1,others,"production and transport operators, cleaners and labourers",1.9
2021-Q2,total,total,1.8
2021-Q2,total,"professional, managers, executive and technicians",1.3
2021-Q2,total,"clerical, sales and services workers",2.7
2021-Q2,total,"production and transport operators, cleaners and labourers",2
2021-Q2,manufacturing,total,1.7
2021-Q2,manufacturing,"professional, managers, executive and technicians",1.2
2021-Q2,manufacturing,"clerical, sales and services workers",2.1
2021-Q2,manufacturing,"production and transport operators, cleaners and labourers",2.1
2021-Q2,construction,total,1.4
2021-Q2,construction,"professional, managers, executive and technicians",1.5
2021-Q2,construction,"clerical, sales and services workers",1.8
2021-Q2,construction,"production and transport operators, cleaners and labourers",1.3
2021-Q2,services,total,1.9
2021-Q2,services,"professional, managers, executive and technicians",1.3
2021-Q2,services,"clerical, sales and services workers",2.8
2021-Q2,services,"production and transport operators, cleaners and labourers",2.5
2021-Q2,others,total,1.1
2021-Q2,others,"professional, managers, executive and technicians",0.7
2021-Q2,others,"clerical, sales and services workers",2.2
2021-Q2,others,"production and transport operators, cleaners and labourers",1.8
2021-Q3,total,total,1.7
2021-Q3,total,"professional, managers, executive and technicians",1.4
2021-Q3,total,"clerical, sales and services workers",2.4
2021-Q3,total,"production and transport operators, cleaners and labourers",1.8
2021-Q3,manufacturing,total,1.6
2021-Q3,manufacturing,"professional, managers, executive and technicians",1.4
2021-Q3,manufacturing,"clerical, sales and services workers",1.8
2021-Q3,manufacturing,"production and transport operators, cleaners and labourers",1.7
2021-Q3,construction,total,1.4
2021-Q3,construction,"professional, managers, executive and technicians",1.5
2021-Q3,construction,"clerical, sales and services workers",1.6
2021-Q3,construction,"production and transport operators, cleaners and labourers",1.3
2021-Q3,services,total,1.8
2021-Q3,services,"professional, managers, executive and technicians",1.4
2021-Q3,services,"clerical, sales and services workers",2.5
2021-Q3,services,"production and transport operators, cleaners and labourers",2.1
2021-Q3,others,total,1
2021-Q3,others,"professional, managers, executive and technicians",0.9
2021-Q3,others,"clerical, sales and services workers",0.7
2021-Q3,others,"production and transport operators, cleaners and labourers",1.3
2021-Q4,total,total,1.6
2021-Q4,total,"professional, managers, executive and technicians",1.3
2021-Q4,total,"clerical, sales and services workers",2.3
2021-Q4,total,"production and transport operators, cleaners and labourers",1.8
2021-Q4,manufacturing,total,1.4
2021-Q4,manufacturing,"professional, managers, executive and technicians",1.1
2021-Q4,manufacturing,"clerical, sales and services workers",1.7
2021-Q4,manufacturing,"production and transport operators, cleaners and labourers",1.7
2021-Q4,construction,total,1.3
2021-Q4,construction,"professional, managers, executive and technicians",1.2
2021-Q4,construction,"clerical, sales and services workers",1.1
2021-Q4,construction,"production and transport operators, cleaners and labourers",1.4
2021-Q4,services,total,1.7
2021-Q4,services,"professional, managers, executive and technicians",1.4
2021-Q4,services,"clerical, sales and services workers",2.4
2021-Q4,services,"production and transport operators, cleaners and labourers",2.1
2021-Q4,others,total,1.2
2021-Q4,others,"professional, managers, executive and technicians",0.9
2021-Q4,others,"clerical, sales and services workers",1.4
2021-Q4,others,"production and transport operators, cleaners and labourers",1.7
2022-Q1,total,total,1.7
2022-Q1,total,"professional, managers, executive and technicians",1.4
2022-Q1,total,"clerical, sales and services workers",2.4
2022-Q1,total,"production and transport operators, cleaners and labourers",1.9
2022-Q1,manufacturing,total,1.5
2022-Q1,manufacturing,"professional, managers, executive and technicians",1.3
2022-Q1,manufacturing,"clerical, sales and services workers",2
2022-Q1,manufacturing,"production and transport operators, cleaners and labourers",1.7
2022-Q1,construction,total,1.3
2022-Q1,construction,"professional, managers, executive and technicians",1.2
2022-Q1,construction,"clerical, sales and services workers",1.2
2022-Q1,construction,"production and transport operators, cleaners and labourers",1.4
2022-Q1,services,total,1.8
2022-Q1,services,"professional, managers, executive and technicians",1.4
2022-Q1,services,"clerical, sales and services workers",2.5
2022-Q1,services,"production and transport operators, cleaners and labourers",2.5
2022-Q1,others,total,1.1
2022-Q1,others,"professional, managers, executive and technicians",0.9
2022-Q1,others,"clerical, sales and services workers",1.1
2022-Q1,others,"production and transport operators, cleaners and labourers",1.7
2022-Q2,total,total,1.8
2022-Q2,total,"professional, managers, executive and technicians",1.5
2022-Q2,total,"clerical, sales and services workers",2.7
2022-Q2,total,"production and transport operators, cleaners and labourers",1.9
2022-Q2,manufacturing,total,1.6
2022-Q2,manufacturing,"professional, managers, executive and technicians",1.4
2022-Q2,manufacturing,"clerical, sales and services workers",2
2022-Q2,manufacturing,"production and transport operators, cleaners and labourers",1.7
2022-Q2,construction,total,1.3
2022-Q2,construction,"professional, managers, executive and technicians",1.5
2022-Q2,construction,"clerical, sales and services workers",1.8
2022-Q2,construction,"production and transport operators, cleaners and labourers",1.2
2022-Q2,services,total,1.9
2022-Q2,services,"professional, managers, executive and technicians",1.5
2022-Q2,services,"clerical, sales and services workers",2.8
2022-Q2,services,"production and transport operators, cleaners and labourers",2.4
2022-Q2,others,total,1.4
2022-Q2,others,"professional, managers, executive and technicians",1
2022-Q2,others,"clerical, sales and services workers",1.8
2022-Q2,others,"production and transport operators, cleaners and labourers",2
2022-Q3,total,total,1.7
2022-Q3,total,"professional, managers, executive and technicians",1.4
2022-Q3,total,"clerical, sales and services workers",2.6
2022-Q3,total,"production and transport operators, cleaners and labourers",1.8
2022-Q3,manufacturing,total,1.5
2022-Q3,manufacturing,"professional, managers, executive and technicians",1.3
2022-Q3,manufacturing,"clerical, sales and services workers",1.8
2022-Q3,manufacturing,"production and transport operators, cleaners and labourers",1.7
2022-Q3,construction,total,1.3
2022-Q3,construction,"professional, managers, executive and technicians",1.3
2022-Q3,construction,"clerical, sales and services workers",1.3
2022-Q3,construction,"production and transport operators, cleaners and labourers",1.3
2022-Q3,services,total,1.9
2022-Q3,services,"professional, managers, executive and technicians",1.5
2022-Q3,services,"clerical, sales and services workers",2.8
2022-Q3,services,"production and transport operators, cleaners and labourers",2.2
2022-Q3,others,total,1.3
2022-Q3,others,"professional, managers, executive and technicians",0.9
2022-Q3,others,"clerical, sales and services workers",0.9
2022-Q3,others,"production and transport operators, cleaners and labourers",2.1
2022-Q4,total,total,1.4
2022-Q4,total,"professional, managers, executive and technicians",1.1
2022-Q4,total,"clerical, sales and services workers",2.1
2022-Q4,total,"production and transport operators, cleaners and labourers",1.6
2022-Q4,manufacturing,total,1.2
2022-Q4,manufacturing,"professional, managers, executive and technicians",0.9
2022-Q4,manufacturing,"clerical, sales and services workers",1.5
2022-Q4,manufacturing,"production and transport operators, cleaners and labourers",1.4
2022-Q4,construction,total,1.3
2022-Q4,construction,"professional, managers, executive and technicians",1.1
2022-Q4,construction,"clerical, sales and services workers",1.2
2022-Q4,construction,"production and transport operators, cleaners and labourers",1.3
2022-Q4,services,total,1.5
2022-Q4,services,"professional, managers, executive and technicians",1.1
2022-Q4,services,"clerical, sales and services workers",2.2
2022-Q4,services,"production and transport operators, cleaners and labourers",2
2022-Q4,others,total,1
2022-Q4,others,"professional, managers, executive and technicians",0.6
2022-Q4,others,"clerical, sales and services workers",0.6
2022-Q4,others,"production and transport operators, cleaners and labourers",1.6
2023-Q1,total,total,1.5
2023-Q1,total,"professional, managers, executive and technicians",1.1
2023-Q1,total,"clerical, sales and services workers",2.1
2023-Q1,total,"production and transport operators, cleaners and labourers",1.7
2023-Q1,manufacturing,total,1.3
2023-Q1,manufacturing,"professional, managers, executive and technicians",0.9
2023-Q1,manufacturing,"clerical, sales and services workers",1.6
2023-Q1,manufacturing,"production and transport operators, cleaners and labourers",1.6
2023-Q1,construction,total,1.3
2023-Q1,construction,"professional, managers, executive and technicians",1.1
2023-Q1,construction,"clerical, sales and services workers",1
2023-Q1,construction,"production and transport operators, cleaners and labourers",1.4
2023-Q1,services,total,1.5
2023-Q1,services,"professional, managers, executive and technicians",1.1
2023-Q1,services,"clerical, sales and services workers",2.3
2023-Q1,services,"production and transport operators, cleaners and labourers",2.1
2023-Q1,others,total,0.8
2023-Q1,others,"professional, managers, executive and technicians",0.7
2023-Q1,others,"clerical, sales and services workers",0.8
2023-Q1,others,"production and transport operators, cleaners and labourers",1
2023-Q2,total,total,1.5
2023-Q2,total,"professional, managers, executive and technicians",1.1
2023-Q2,total,"clerical, sales and services workers",2.3
2023-Q2,total,"production and transport operators, cleaners and labourers",1.7
2023-Q2,manufacturing,total,1.3
2023-Q2,manufacturing,"professional, managers, executive and technicians",0.9
2023-Q2,manufacturing,"clerical, sales and services workers",1.8
2023-Q2,manufacturing,"production and transport operators, cleaners and labourers",1.6
2023-Q2,construction,total,1.4
2023-Q2,construction,"professional, managers, executive and technicians",1.4
2023-Q2,construction,"clerical, sales and services workers",1.5
2023-Q2,construction,"production and transport operators, cleaners and labourers",1.4
2023-Q2,services,total,1.6
2023-Q2,services,"professional, managers, executive and technicians",1.1
2023-Q2,services,"clerical, sales and services workers",2.5
2023-Q2,services,"production and transport operators, cleaners and labourers",2.1
2023-Q2,others,total,0.8
2023-Q2,others,"professional, managers, executive and technicians",0.7
2023-Q2,others,"clerical, sales and services workers",0.5
2023-Q2,others,"production and transport operators, cleaners and labourers",1
2023-Q3,total,total,1.4
2023-Q3,total,"professional, managers, executive and technicians",1.1
2023-Q3,total,"clerical, sales and services workers",2.1
2023-Q3,total,"production and transport operators, cleaners and labourers",1.6
2023-Q3,manufacturing,total,1.3
2023-Q3,manufacturing,"professional, managers, executive and technicians",1
2023-Q3,manufacturing,"clerical, sales and services workers",1.4
2023-Q3,manufacturing,"production and transport operators, cleaners and labourers",1.5
2023-Q3,construction,total,1.2
2023-Q3,construction,"professional, managers, executive and technicians",1.2
2023-Q3,construction,"clerical, sales and services workers",1.2
2023-Q3,construction,"production and transport operators, cleaners and labourers",1.2
2023-Q3,services,total,1.5
2023-Q3,services,"professional, managers, executive and technicians",1.2
2023-Q3,services,"clerical, sales and services workers",2.2
2023-Q3,services,"production and transport operators, cleaners and labourers",1.9
2023-Q3,others,total,1.3
2023-Q3,others,"professional, managers, executive and technicians",0.8
2023-Q3,others,"clerical, sales and services workers",0.7
2023-Q3,others,"production and transport operators, cleaners and labourers",2.2
2023-Q4,total,total,1.3
2023-Q4,total,"professional, managers, executive and technicians",0.9
2023-Q4,total,"clerical, sales and services workers",1.9
2023-Q4,total,"production and transport operators, cleaners and labourers",1.6
2023-Q4,manufacturing,total,1
2023-Q4,manufacturing,"professional, managers, executive and technicians",0.7
2023-Q4,manufacturing,"clerical, sales and services workers",1.3
2023-Q4,manufacturing,"production and transport operators, cleaners and labourers",1.2
2023-Q4,construction,total,1.3
2023-Q4,construction,"professional, managers, executive and technicians",1.1
2023-Q4,construction,"clerical, sales and services workers",1.1
2023-Q4,construction,"production and transport operators, cleaners and labourers",1.4
2023-Q4,services,total,1.4
2023-Q4,services,"professional, managers, executive and technicians",1
2023-Q4,services,"clerical, sales and services workers",2.1
2023-Q4,services,"production and transport operators, cleaners and labourers",2.1
2023-Q4,others,total,1.1
2023-Q4,others,"professional, managers, executive and technicians",0.7
2023-Q4,others,"clerical, sales and services workers",2.4
2023-Q4,others,"production and transport operators, cleaners and labourers",1.3
2024-Q1,total,total,1.4
2024-Q1,total,"professional, managers, executive and technicians",1
2024-Q1,total,"clerical, sales and services workers",2.2
2024-Q1,total,"production and transport operators, cleaners and labourers",1.7
2024-Q1,manufacturing,total,1.2
2024-Q1,manufacturing,"professional, managers, executive and technicians",0.8
2024-Q1,manufacturing,"clerical, sales and services workers",1.7
2024-Q1,manufacturing,"production and transport operators, cleaners and labourers",1.5
2024-Q1,construction,total,1.4
2024-Q1,construction,"professional, managers, executive and technicians",1
2024-Q1,construction,"clerical, sales and services workers",1.1
2024-Q1,construction,"production and transport operators, cleaners and labourers",1.6
2024-Q1,services,total,1.4
2024-Q1,services,"professional, managers, executive and technicians",1
2024-Q1,services,"clerical, sales and services workers",2.3
2024-Q1,services,"production and transport operators, cleaners and labourers",1.9
2024-Q1,others,total,0.8
2024-Q1,others,"professional, managers, executive and technicians",0.8
2024-Q1,others,"clerical, sales and services workers",0.7
2024-Q1,others,"production and transport operators, cleaners and labourers",1
2024-Q2,total,total,1.4
2024-Q2,total,"professional, managers, executive and technicians",1
2024-Q2,total,"clerical, sales and services workers",2
2024-Q2,total,"production and transport operators, cleaners and labourers",1.6
2024-Q2,manufacturing,total,1.2
2024-Q2,manufacturing,"professional, managers, executive and technicians",0.9
2024-Q2,manufacturing,"clerical, sales and services workers",1.5
2024-Q2,manufacturing,"production and transport operators, cleaners and labourers",1.4
2024-Q2,construction,total,1.4
2024-Q2,construction,"professional, managers, executive and technicians",1.3
2024-Q2,construction,"clerical, sales and services workers",1.1
2024-Q2,construction,"production and transport operators, cleaners and labourers",1.5
2024-Q2,services,total,1.4
2024-Q2,services,"professional, managers, executive and technicians",1
2024-Q2,services,"clerical, sales and services workers",2.1
2024-Q2,services,"production and transport operators, cleaners and labourers",1.8
2024-Q2,others,total,0.9
2024-Q2,others,"professional, managers, executive and technicians",0.8
2024-Q2,others,"clerical, sales and services workers",0.7
2024-Q2,others,"production and transport operators, cleaners and labourers",1.1
2024-Q3,total,total,1.3
2024-Q3,total,"professional, managers, executive and technicians",1
2024-Q3,total,"clerical, sales and services workers",2
2024-Q3,total,"production and transport operators, cleaners and labourers",1.3
2024-Q3,manufacturing,total,1
2024-Q3,manufacturing,"professional, managers, executive and technicians",0.8
2024-Q3,manufacturing,"clerical, sales and services workers",1.2
2024-Q3,manufacturing,"production and transport operators, cleaners and labourers",1.1
2024-Q3,construction,total,1
2024-Q3,construction,"professional, managers, executive and technicians",0.8
2024-Q3,construction,"clerical, sales and services workers",1
2024-Q3,construction,"production and transport operators, cleaners and labourers",1.1
2024-Q3,services,total,1.4
2024-Q3,services,"professional, managers, executive and technicians",1.1
2024-Q3,services,"clerical, sales and services workers",2.1
2024-Q3,services,"production and transport operators, cleaners and labourers",1.6
2024-Q3,others,total,1.1
2024-Q3,others,"professional, managers, executive and technicians",0.8
2024-Q3,others,"clerical, sales and services workers",0.6
2024-Q3,others,"production and transport operators, cleaners and labourers",1.8
